variable_name,description,datatype,survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,section_header,ui,field_note,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group
recentresult_covidtest,PX570201,,,,What was the result of your most recent COVID-19 test?,,"1, Negative | 2, Positive | 3, Never obtained results | 4, Indeterminate | 98, Don't know | 99, Prefer not to answer",,,,,,,testing,Tested positive for COVID-19,radio,,,,"[tested_for_covid] = ""1""",,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"result,px570201",group3
cross_smoking,,,,,"Smoked marijuana, a cigarette, a cigar, a pipe, e-cigarettes, vaped, or used snuff or chewing tobacco? /(11-17) Smoked marijuana, a cigarette, a cigar, or pipe, e-cigarettes, vaped, or used snuff or chewing tobacco?",,"1, Yes | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,"In the past TWO (2) WEEKS, has your child ... (11-17) In the past TWO (2) WEEKS, have you...",radio,,,,,,cross_cut_exposure,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"tobacco,snuff,smoke marijuana,cigar,cigarette",group3
cov_tst_mthd_2,,,,,How were you tested for your most recent test? ,,"1,Nasal Swab|2,Throat Swab|3, Blood Sample|4, Saliva|99, Prefer not to answer",,,,,,,testing,Tested positive for COVID-19,radio,,,,"[tested_for_covid] = ""1""",,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,recent test,group3
31386-covid_results-1,"Participant indicates that the results they received as part of their at-home COVID test, included: Positive",categorical,,,What results did you receive as part of your at-home COVID test? Positive,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Follow-up Survey,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"result,,participant,home covid test",group3
30135-covid_result,"Last 30 days, COVID Tested Results",categorical,,,What kind of COVID-19 test did you have?,true,"1, Home-based test (please provide name); 2, Lab-administered diagnostic PCR test; 3, Lab-administered diagnostic antigen test; 4, Lab-administered antibody test; 5, Lab-administered test, unsure of type; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid,result,kind,day",group3
income_change,,select one,Monthly COVID-19 Citizen Science Survey,4,Has your income changed in the past 30 days?,true,"Yes, it has increased;Yes it has declined;No, it is about the same;Prefer not to state",,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT,"day,income",group3
tobacco_pastmonth,,select one,Your Smoking History,3,"Have you smoked a cigar, cigarillo, or tobacco product other than a cigarette in the past 30 days?",true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"tobacco product,cigar,day,cigarette",group3
cigarette_past30days,,select one,Your Smoking History,3,Have you smoked cigarettes in the past 30 days?,true,Yes;No;Refuse to answer,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"day,cigarette",group3
vaccine_prev_expos,,,,,"To the best of your knowledge, have you previously been exposed to someone who has had a positive COVID-19 test?",,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_vaccine_acceptance,"In deciding whether to get the COVID-19 vaccine, how important are/were these statements to you ?  
1 = Not Important, 3 = Neutral,  5 = Very Important",radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,",knowledge",group3
29792-consent_covid+,COVID related testing eligibility,categorical,,,Have you tested Positive for COVID-19 in the last 30 days?,true,"1, Yes; 2, No",,,,,,,Consent,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid,positive,testing eligibility,day",group3
ends_meet,,select one,Monthly COVID-19 Citizen Science Survey,4,Did you have difficulty making ends meet over the past 30 days?,true,Frequently;Occasionally;Hardly ever;Never;Don’t know;Prefer not to state,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT,"end,day,difficulty",group3
ecig_puffs,,integer,Your Smoking History,3,How many puffs from an e-cigarette do you typically take over the past 30 days?,false,Integer,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"puff,day",group3
n_cig,Smoking per day,text,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"day,cigarette",group3
sx_3days,,select any,Baseline Survey,7,"Have you had any of the following symptoms since February 1, 2020 for more than 3 days in a row? CHECK ALL THAT APPLY",true,"A scratchy throat;A painful sore throat;A cough (worse than usual if you have a baseline cough);A runny nose;Symptoms of fever  or chills;A temperature greater than 100.4 °F or 38.0 °C;Muscle aches (worse than usual if you have baseline muscle aches);None of the above;Nausea, vomiting or diarrhea;Shortness of breath;Unable to taste or smell;Red or painful eyes",,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,"february,day,symptom,row",group3
30144-flu_result,Last 30 Days FLU Tested Results,categorical,,,"In the past 30 days, have you been tested for the flu, and if so, what was the result of your most recent test?",true,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"flu,recent test,result,day flu,day",group3
smoker_cur_stat,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,,,,Do you now smoke cigarettes?,,"4, Every Day |3, Some Days | 1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,alcohol_and_tobacco,Alcohol and Tobacco/Nicotine Use,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"protocol,cigarette",group3
30132-covid_tested30,"Last 30 days, COVID Tested Status",categorical,,,"In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",true,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid,research study,recent test,result,status,coronavirus,day",group3
how_often_do_you_smoke_cigarettes,How often do you smoke cigarettes?,text,,,,,"[""some_days"",""rarely"",""not_at_all"",""i_don_t_know"",""i_prefer_not_to_answer"",""every_day""]",,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,cigarette,group3
unemployed,,select one,Monthly COVID-19 Citizen Science Survey,4,"In the past 30 days, have you been unemployed?",true,Yes;No;Prefer not to state,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT,day,group3
covid_tested_30,,,,,Have you been tested for COVID-19 in the last 30 days?,,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_testing,Tier 2 Covid,radio,,,,,RV,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,day,group3
smoke_howmanydays,,integer,Your Smoking History,3,About how many days have you smoked a cigarette in the past 30 days?,true,Integer,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"day,cigarette",group3
on_average_how_many_cigarettes_per_day_do_you_smoke,"On average, how many cigarettes per day do you smoke?",text,,,,,"[""1"",""7"",""10"",""11"",""22"",""27"",""31"",""5"",""6"",""8"",""9"",""12"",""13"",""15"",""16"",""17"",""18"",""19"",""23"",""24"",""25"",""29"",""30"",""32"",""33"",""34"",""37"",""40"",""2"",""3"",""4"",""14"",""20"",""21"",""26"",""28"",""35"",""36"",""39"",""38""]",,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"day,cigarette",group3
tobacco_day,,float,Your Smoking History,3,"On average, how many cigar, cigarillo, or tobacco product (other than cigarettes) per day have you smoked in the past 30 days (use 1 if less than one)?",false,Float,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"tobacco product,cigar,day,cigarette",group3
tobacco_ever,,select one,Your Smoking History,3,"Have you ever smoked a cigar, cigarillo, or tobacco product other than cigarette, even one or two puffs?",true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"puff,tobacco product,cigar,cigarette",group3
cig_day,,float,Your Smoking History,3,"On average, how many cigarettes per day have you smoked in the past 30 days (use 1 if less than one)",false,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"day,cigarette",group3
smoker_number,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,number,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,alcohol_and_tobacco,Alcohol and Tobacco/Nicotine Use,text,,1,80,[smoker_cur_stat] ='4' ,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"protocol,day,cigarette",group3
how_often_do_you_use_electronic_cigarettes_or_vapes,How often do you use electronic cigarettes or vapes?,text,,,,,"[""not_at_all"",""every_day"",""some_days"",""rarely"",""i_don_t_know"",""i_prefer_not_to_answer""]",,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"electronic cigarette,vape",group3
e_cig,e cigarette use,radio,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"1, Every day | 2, Some days | 3, Rarely | 4, Not at all",,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"electronic cigarette,day",group3
cigarette_ever,,select one,Your Smoking History,3,"Have you ever smoked a cigarette, even one or two puffs?",true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"puff,cigarette",group3
exposure,"Indicates whether the participant reported been exposed to someone who has tested positive for COVID-19 or is currently undergoing testing for COVID-19, within the past 24 hours",categorical,,,"""To the best of your knowledge have you been exposed to someone who has tested positive for COVID-19 or is currently undergoing testing for COVID-19, within the past 24 hours?""",,Yes; No; NA,,,,,,,,,,,,,,,,,,,NIH_DWS_DD_origcopy.csv,RADx-DHT,",knowledge,testing,hour,participant",group3
smoke,Smoke cigarettes,radio,,,"Do you now smoke cigarettes?

",,"1, Every day | 2, Some days | 3, Not at all | 4, DON'T KNOW | 5, REFUSED",,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"smoke cigarette,cigarette",group3
tobacco_howmanydays,,integer,Your Smoking History,3,"About how many days have you smoked a cigar, cigarillo, or tobacco product other than cigarette in the past 30 days?",true,|days,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"tobacco product,day,cigar,cigarette",group3
vaper_cur_stat,|https://www.cdc.gov/tobacco/data_statistics/sgr/e-cigarettes/pdfs/2016_SGR_App_2-2_508.pdf),,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,alcohol_and_tobacco,Alcohol and Tobacco/Nicotine Use,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"sgr,tobacco,electronic cigarette,data_statistic,day",group3
er,,select one,Hospitalization Survey,1,Have you been to the emergency room or Urgent Care (when you were NOT admitted to the hospital overnight) in the past 30 days or since the last time you answered?,true,Yes;No,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT,"emergency room,hospital,time,urgent care,day",group3
more_care,,,,,"Does your child need or use more medical care, mental health or educational services than is usual for most children of the same age?",,"0, No| 1, Yes| 99, Prefer not to answer",,,,,,,tier2_ped,Special Healthcare needs,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"child,medical care,mental health,educational service",group4
sleephours_child,,,,,"In the last week, how many hours of sleep did you get on most nights?",,"1, More than 11 hours | 2, 9-11 hours | 3, 8-9 hours | 4, 7-8 hours | 5, 5-7 hours | 6, Less than 5 hours | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,"(13+) During the COVID-19 pandemic (since March 2020), how often did you:",radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"week,hour,night,sleep",group4
up_all_day,,,,,Being up all day without a nap or rest,,"0, No trouble|1, A little trouble|2,Some trouble|3,A lot of trouble|4, Impossible|99, Prefer not to answer",,,,,,,tier2_ped,"Functional Disability Inventory: In the past two weeks, would you have had any physical trouble or difficulty doing these activities?",radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"nap,day",group4
do_any_children_in_your_household_attend_daycare_or_school_in_person_on_a_regular_basis_at_least_1_day_per_week,Do any children in your household attend daycare or school in-person on a regular basis (at least 1 day per week)?,text,,,,,"[""yes"",""no""]",,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"school,child,day,household,daycare",group4
avg_sleep_past_week,,integer,Weekly COVID-19 Citizen Science Survey 4,9,"Over the past WEEK, on average, how many hours did you sleep per night?",true,|hours per night,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT,"hour,past week,night",group4
sleephours_parent,,,,,"In the last week, how many hours of sleep did your child get on most nights?",,"1, More than 11 hours | 2, 9-11 hours | 3, 8-9 hours | 4, 7-8 hours | 5, 5-7 hours | 6, Less than 5 hours | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,"(13+) During the COVID-19 pandemic (since March 2020), how often did you:",radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"child,night,sleep,hour,week",group4
ismainsleep,Whether or not each sleep period is part of the main sleep for the day,boolean,,,,,,,https://dev.fitbit.com/build/reference/web-api/sleep/,,,,,,,,,,,,,,,,,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,",main sleep,day,sleep period",group4
num_sleeps,Number of sleeps (main sleep + naps) in a day,long,,,,,,Sleep,https://dev.fitbit.com/build/reference/web-api/sleep/,,,,,,,,,,,,,,,,,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,"nap,main sleep,sleep,number,day",group4
data_source,,,,,What is the source of these data?,,"1, Participant Direct Report|2,Secondary Medical Record Dataset|3,Mixed",,,,,,,tier2_other,How much do you trust each of these sources to provide correct information about COVID 19?  (Select one response for each row.),radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"datum,source",group5
data_source,Source of Data,text,,,,,,,,,,,,,,,,,,,,,,,,medications_data_dictionary_origcopy.csv,RADx-DHT,"datum,source",group5
sample_collect_time,"The local time of sample collection; for composite samples, specify the time at which sample collection began","time, 24-hr ([hh]:[mm])",,,,required,,,,,[none],,,,,,,,,,,,,[time],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample collection,time,local time,composite sample",group6
test_result_date,The date on which this SARS-CoV-2 measurement was made,date ([yyyy]-[mm]-[dd]),,,,required,,,,,[none],,,,,,,,,,,,,[date not after tomorrow's date and not before 'sample_collect_date'],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"date,sar",group6
sample_collect_date,,date_ymd,,,"The date of sample collection; for composite samples, specify the date on which sample collection began",,,,,,,,,,Sample,date,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample collection,date,composite sample",group6
collection_storage_time,,,,,Duration of time the sample was stored after collection and prior to reaching the lab,,,,,,hour,,,,Collection Method,float,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"time,collection,sample,duration,lab",group6
pre_conc_storage_time,,,,,The approximate average duration of time between when samples reach the lab and when they are concentrated (if concentrated),,,,,,hour,,,,Processing Method,float,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"time,sample,lab,approximate average duration",group6
collection_storage_temp,,,,,Temperature at which the sample was stored after collection and prior to reaching the lab,,,,,,celsius,,,,Collection Method,float,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"collection,temperature,sample,lab",group6
pre_ext_storage_time,,,,,The approximate average duration of time between when samples are concentrated (if concentrated) and when they are extracted,,,,,,hour,,,,Processing Method,float,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"time,sample,approximate average duration",group6
pre_ext_storage_temp,,,,,The storage temperature of samples after concentration (if concentrated) and prior to extraction,,,,,,celsius,,,,Processing Method,float,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"concentration,sample,extraction,storage temperature",group6
result-date,The date and time at which the provider obtained the result,string,,,,,ISO 8601 date-time format,,,,,,,,,,,,,,,,,,,data_dictionary_test.xlsx [Test].csv,RADx-DHT,"result,provider,date,time",group6
pre_ext_storage_time,The approximate average duration of time between when samples are concentrated (if concentrated) and when they are extracted,float,,,,not required,,,,,hours,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"time,sample,approximate average duration",group6
pre_conc_storage_time,The approximate average duration of time between when samples reach the lab and when they are concentrated (if concentrated),float,,,,not required,,,,,hours,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"time,sample,lab,approximate average duration",group6
collection-date,The date and time at which the sample was collected,string,,,,,ISO 8601 date-time format,,,,,,,,,,,,,,,,,,,data_dictionary_test.xlsx [Test].csv,RADx-DHT,"time,date,sample",group6
collection_storage_time,Duration of time the sample was stored after collection and prior to reaching the lab,float,,,,not required,,,,,hours,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"time,collection,sample,duration,lab",group6
collection_water_temp,Sample temperature at time of collection,float,,,,not required,,,,,celsius,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"time,collection,sample temperature",group6
location_air_temp,,,,,"Temperature of the air at the location and time of sampling, in C",,,,,,celsius,,,,Sample,float,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"time,temperature,location,air",group6
sample_collect_time,,time,,,"The local time of sample collection; for composite samples, specify the time at which sample collection began",,,,,,,,,,Sample,time,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample collection,time,local time,composite sample",group6
collection_storage_temp,Temperature at which the sample was stored after collection and prior to reaching the lab,float,,,,not required,,,,,celsius,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"collection,temperature,sample,lab",group6
pre_ext_storage_temp,The storage temperature of samples after concentration (if concentrated) and prior to extraction,float,,,,not required,,,,,celsius,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"concentration,sample,extraction,storage temperature",group6
collection_water_temp,,,,,Sample temperature at time of collection,,,,,,celsius,,,,Sample,float,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"time,collection,sample temperature",group6
pre_conc_storage_temp,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),float,,,,not required,,,,,celsius,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"concentration,sample,storage temperature,lab",group6
test_result_date,,,,,The date on which this SARS-CoV-2 measurement was made,,,,,,,,,,SARSCoV2 Quantification Method,date,Lab result date,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"date,sar",group6
assay_date,,,,,date of assay performed,,,,,,,,,,PCR,date,example: 2021-01-01,,,,,,,,,PCR_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,"assay,date",group6
pre_conc_storage_temp,,,,,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),,,,,,celsius,,,,Processing Method,float,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"concentration,sample,storage temperature,lab",group6
sample_collect_date,"The date of sample collection; for composite samples, specify the date on which sample collection began",date ([yyyy]-[mm]-[dd]),,,,required,,,,,[none],,,,,,,,,,,,,[date not after tomorrow's date],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample collection,date,composite sample",group6
time_zone,,,,,"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",,,,,,,,,,Sample,text,time zone (UTC-[hh]:[mm]),,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample_collect_time,time,utc time offset,current local time zone",group7
starttimeoffsetinseconds,"Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data.",long,,,,,,,,,,,,,,,,,,,,,,,,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,"device,starttimeinsecond,second,time,datum",group7
starttimeoffsetinseconds,"Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data",long,,,,,,,,,,,,,,,,,,,,,,,,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,"device,starttimeinsecond,second,time,datum",group7
time_zone,"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",time zone (utc-[hh]:[mm]),,,,not required,,,,,[none],,,,,,,,,,,,,[time zone],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample_collect_time,time,utc time offset,current local time zone",group7
vaccine_edu_pre,,,,,"Prior to your vaccination, were you given information or brochures about the vaccine and/or COVID-19?",,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_vaccine_acceptance,"In deciding whether to get the COVID-19 vaccine, how important are/were these statements to you ?  
1 = Not Important, 3 = Neutral,  5 = Very Important",radio,"This would include materials or discussions with your doctor, your library or church, a government health agency, university/college, or community health organization.",,,[covid_vaccine] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"information,vaccination,brochure,vaccine",group8
