variable_name,description,datatype,Digest (variable_name|source_file|source_directory),survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,Concept,Comment,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group,matches
tobacco_howmanydays,,integer,8e3f9ca75160ce2666a2067792bf58c76175ba2651da5ff358a91688bed81611efc934c0a95b8f605db2f2d566d528479aafd3e7124f749b1ba86dd5061fc0d7,Your Smoking History,3,"About how many days have you smoked a cigar, cigarillo, or tobacco product other than cigarette in the past 30 days?",true,|days,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"tobacco product,cigar,cigarette,day",group2,"bd2d9c,0.7"
how_often_do_you_smoke_cigarettes,How often do you smoke cigarettes?,text,a92653b9a7fd7d099dbbba675ee1ba07f3fbbb125d65c761298bb411c10daef205db0b7ac29f5cbbbaff8906e80258f81524f3396f00fe5b23b6b6e72eae86ea,,,,,"[""some_days"",""rarely"",""not_at_all"",""i_don_t_know"",""i_prefer_not_to_answer"",""every_day""]",,,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,cigarette,group2,"6a9b85,0.79;80761e,0.73"
smoker_cur_stat,,,41b2952f85047be93f97eef1dc19e8a86ae8c760a6905b2300aeb3d6d38c404fabfbb0b96c5e51cf46f67255134d0c8afaab501c8a5d5c5e60d7ed687680761e,,,Do you now smoke cigarettes?,,"4, Every Day |3, Some Days | 1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,,Medical History,,,,,,,,,,,,,,RADx-UP-global-code-book.csv,RADx-UP,cigarette,group2,"ae86ea,0.73;a94673,0.76;58d3cf,0.72;7ab81c,0.95;8b1cbc,0.8"
tobacco_day,,float,e6a31faa1ad3edfbb18005d614abc19bbb801064b601df35031994f5c1def0f90e77dc4e083a1ecf46becc095a483f8c6e54b91c7a2003f696bd351dd90715a8,Your Smoking History,3,"On average, how many cigar, cigarillo, or tobacco product (other than cigarettes) per day have you smoked in the past 30 days (use 1 if less than one)?",false,Float,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"tobacco product,cigar,cigarette,day",group2,"6a9b85,0.75;bd2d9c,0.72"
do_you_currently_smoke_cigarettes_or_vape,Do you currently smoke cigarettes or vape?,text,30641e28e9a3a4b70f1767a553d0d6931e227e00d30a9fec800f825456955a92d2853758d088889fb11faa65d9a7bc173e5f107558ded0c05b0389bfaaa94673,,,,,"[""yes"",""no_i_used_to_smoke_and_or_vape_but_i_stopped"",""no_i_have_never_smoked_or_vaped""]",,,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"cigarette,vape",group2,"4f2f02,0.71;80761e,0.76"
cigarette_ever,,select one,d658b733546d46027b76d1711742a0b5a4276a28691d3384dcd874f1be0bd20cd7b5cef33cba67c361c8b728c54c3c9ff112d8a228763c98a9d92fd7c558d3cf,Your Smoking History,3,"Have you ever smoked a cigarette, even one or two puffs?",true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"puff,cigarette",group2,"80761e,0.72"
on_average_how_many_cigarettes_per_day_do_you_smoke,"On average, how many cigarettes per day do you smoke?",text,9586f964d63d247e8143333da43ca86fc1993110b74032587c9ec206f7405d376a7a0607906ceffd89cf8741903179e419ba0baf2304bf6b9ef51d9b8bedeeed,,,,,"[""1"",""7"",""10"",""11"",""22"",""27"",""31"",""5"",""6"",""8"",""9"",""12"",""13"",""15"",""16"",""17"",""18"",""19"",""23"",""24"",""25"",""29"",""30"",""32"",""33"",""34"",""37"",""40"",""2"",""3"",""4"",""14"",""20"",""21"",""26"",""28"",""35"",""36"",""39"",""38""]",,,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"cigarette,day",group2,"6a9b85,0.93"
smoking,,,dd2c35bc7453dfa163e83d569c8a32b0445cac4e0987bb6e8f3405939c1fefc71f7959fa0ac3264c502abdf3eb50b00b31996da4b00b153f4afee2006bbd2d9c,,,"Do you use any tobacco/nicotine products (including cigarettes, cigars, e-cigarettes, etc)?",,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,,,,,,,Medical History,,,,,,,,,,,,,,RADx-TECH-global-code-book.csv,RADx-TECH,"nicotine product,cigarette,cigar,tobacco",group2,"1fc0d7,0.7;0715a8,0.72;9361f7,0.78;4554c9,0.77"
smoke,Smoke cigarettes,radio,edda26f3aff55b6e0352f43202753ae8360b3da3fdb1c119dad9c8a9ee99e3e120a81b06c4a4d9ef6528dbe019b7892f641521b7f4c00d82c3745b80927ab81c,,,"Do you now smoke cigarettes?

",,"1, Every day | 2, Some days | 3, Not at all | 4, DON'T KNOW | 5, REFUSED",,,,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"cigarette,smoke cigarette",group2,"4f2f02,0.88;80761e,0.95"
dht_cig_smoking_frequency,,,482d6564ec6d03fc239e1ba9b92f5197b89867af523ddfe5c945ff736c8bdbb6899d88344c54bd224169b7b5ab8d49b1ef97b4df939939bf25a0e947b18b1cbc,,,Nicotine Frequency: Do you now smoke cigarettes?,,"1, Every Day; 2, Some Days; 3, Rarely; 4, Not at all; 98, Don't know; 99, Prefer not to answer",,,,,,,,Medical History,,,,,,,,,,,,,,RADx-DHT-global-code-book.csv,RADx-DHT,"nicotine frequency,cigarette",group2,"4f2f02,0.75;80761e,0.8"
tobacco_ever,,select one,705f130956aa31f55dd945f89cccd5cfe14dc8ab423010087ad50641512fd41dd45298155439b0a2a48b1cd957287e634c42ca96726f2d085e9c5cbd089361f7,Your Smoking History,3,"Have you ever smoked a cigar, cigarillo, or tobacco product other than cigarette, even one or two puffs?",true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"tobacco product,cigar,puff,cigarette",group2,"bd2d9c,0.78"
tobacco_pastmonth,,select one,2f00c5c0fab8ca856c3cb9c48282c11e2d818b501360bd765768f603183dd4683ec5f2a5cb170bedf1333056298c3fb1dac56a5cda53d6c3dfb75239b04554c9,Your Smoking History,3,"Have you smoked a cigar, cigarillo, or tobacco product other than a cigarette in the past 30 days?",true,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"tobacco product,cigar,cigarette,day",group2,"bd2d9c,0.77"
how_often_do_you_use_electronic_cigarettes_or_vapes,How often do you use electronic cigarettes or vapes?,text,284bc775224a2ad101e15244580da8eef3910806e1523c180998dec4c5be708bbb2bf77a55be4d63740dcc73bc07b0379419b3eb7b1f858e584888e1a31813a7,,,,,"[""not_at_all"",""every_day"",""some_days"",""rarely"",""i_don_t_know"",""i_prefer_not_to_answer""]",,,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"electronic cigarette,vape",group3,"ac1866,0.74;0544c1,0.73"
dht_vaping_frequency,,,cd5bce843755795a055917bc4b09ee0f956a776b8b5b2f69ca96785e1cd9e7a570232b440c5aef2ee96f879ba4e56ed27b3ba9b0c4039e9ac86106f1e7640501,,,"Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all?",,"1, Every Day; 2, Some Days; 3, Rarely; 4, Not at all; 98, Don't know; 99, Prefer not to answer",,,,,,,,Medical History,,,,,,,,,,,,,,RADx-DHT-global-code-book.csv,RADx-DHT,"day,electronic cigarette,vape frequency",group3,"ac1866,0.87;0544c1,0.86"
vaper_cur_stat,,,04be5d476503b0516cdc740820faf1578dceebd9913d390eeffb76a4687f446f8295d80bbaec78bea2204014b32faa388453893963d77929d06693db21ac1866,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all?",,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,,Medical History,,,,,,,,,,,,,,RADx-UP-global-code-book.csv,RADx-UP,"electronic cigarette,day",group3,"1813a7,0.74;640501,0.87;4c8408,0.94"
e_cig,e cigarette use,radio,21828c230bd4ebe1753b02aa129f3150772bb3de01838d556d16a64b2bf07a8be47b3a4ce81b2c23fcc9e5b05b1980a342b405b1e21268b374582b3e254c8408,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"1, Every day | 2, Some days | 3, Rarely | 4, Not at all",,,,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"electronic cigarette,day",group3,"ac1866,0.94;0544c1,0.94"
vaper_cur_stat,|https://www.cdc.gov/tobacco/data_statistics/sgr/e-cigarettes/pdfs/2016_SGR_App_2-2_508.pdf),,fb55f66243d58ed2345d996da71be84a741cfe7e429ea2f1c189d9b28cfc63c5c9a07a0e52dfa1802b1ff8a2569d8717ea947239fdc2d7f01510a0d3e70544c1,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,alcohol_and_tobacco,,,Alcohol and Tobacco/Nicotine Use,radio,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"tobacco,data_statistic,sgr,electronic cigarette,day",group3,"1813a7,0.73;640501,0.86;4c8408,0.94"
collection_storage_temp,Temperature at which the sample was stored after collection and prior to reaching the lab,float,76438ea1a0558ccc2710ed6dca9bec2154a9d1316e63fb9d7693c76e356b5cfe573708fd309aea4eced6d0bf84ed00b45d82dff6d6b970162d07dc62787dd3e4,,,,not required,,,,,celsius,,,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"temperature,sample,collection,lab",group4,"e1c26c,0.84;0e6cea,1.0;530664,0.74"
collection_storage_time,,,5edaa46466e23b167ef9a7227ead852d68de31a4d135eaee287939ebcada7456106490d3ef060e3fc4318797fa02edaedf597feb871e31d266ca5bc850e1c26c,,,Duration of time the sample was stored after collection and prior to reaching the lab,,,,,,hour,,,,,,Collection Method,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample,collection,lab,time,duration",group4,"7dd3e4,0.84;23c1c6,1.0"
pre_conc_storage_temp,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),float,eb2bcac90b5e7b729cf5768c39446df20f915a2821f093dd2e5d5330ffdab3f67b073ee8a54f37df1c2f52b61ad74bbc366654af0c98b75025010dd4fef56e64,,,,not required,,,,,celsius,,,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"storage temperature,concentration,sample,lab",group4,"f878d3,0.87;0e6cea,0.74;530664,1.0"
pre_ext_storage_temp,The storage temperature of samples after concentration (if concentrated) and prior to extraction,float,d9706df479997b92a4bccd32efa64ff7ea843e664f6fbc2357514dee0f59385dbb33100f83a518a9ec0c84f8277663cfad3745f23f83e0d479266d10f581339b,,,,not required,,,,,celsius,,,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"storage temperature,extraction,concentration,sample",group4,"f878d3,1.0;530664,0.87"
pre_ext_storage_temp,,,6ac62cbf9a756d13c9e6ec4eed2d105f6be30121cbb2b92699a42e174c33fafaafedcae12ce79cb8f890e899ea44164b1da6c45eb390167925b5fafbe1f878d3,,,The storage temperature of samples after concentration (if concentrated) and prior to extraction,,,,,,celsius,,,,,,Processing Method,float,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"storage temperature,extraction,concentration,sample",group4,"f56e64,0.87;81339b,1.0"
collection_storage_temp,,,efbd11ba7cdee793808f1690f2f2f71e4d33862f50813ad6822d1e256f21059f512a84844286c6bfd1c6140bd07781b4768a253ecb1863861da8a9df9e0e6cea,,,Temperature at which the sample was stored after collection and prior to reaching the lab,,,,,,celsius,,,,,,Collection Method,float,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"temperature,sample,collection,lab",group4,"7dd3e4,1.0;f56e64,0.74;23c1c6,0.84"
collection_storage_time,Duration of time the sample was stored after collection and prior to reaching the lab,float,eb7254fa3e165c9b8a104e77d51827ef3f28df35808de503b6773746864e1d0fd04a2a4e57c458d241b85ecedb2f8bfca7f926b93913a6fb6d9fe3aa7723c1c6,,,,not required,,,,,hours,,,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample,collection,lab,time,duration",group4,"e1c26c,1.0;0e6cea,0.84"
pre_conc_storage_temp,,,b676bde5e21aab12a2db2fb84aa6303105d8967241a53e6c816d20fb02ec67c36c25081f048d212aa6690cc28cf5338f5a6c5086a3ba8b114ed6adaddf530664,,,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),,,,,,celsius,,,,,,Processing Method,float,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"storage temperature,concentration,sample,lab",group4,"7dd3e4,0.74;f56e64,1.0;81339b,0.87"
collection_water_temp,,,b1c76ceef884dcadf37746fe4593984b08bd16a02094d1e86380cbc97d13b3686607664b4f8cfe9918784f8603482bb0618625699f682881211e15fd5637aebe,,,Sample temperature at time of collection,,,,,,celsius,,,,,,Sample,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample temperature,time,collection",group5,"0f1dee,1.0"
collection_water_temp,Sample temperature at time of collection,float,77fa4d190079916edc59a7a05a835d867d528edfbb66b97ed408cd36f3360ed47dd9ddccacc52f5ca6ef722cb09a822d97e5400b5c6800703e080a8de80f1dee,,,,not required,,,,,celsius,,,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample temperature,time,collection",group5,"37aebe,1.0"
pre_ext_storage_time,The approximate average duration of time between when samples are concentrated (if concentrated) and when they are extracted,float,556911b4778c74a65aae8cdd9c4a791076e85244059aa8486951c65099d524c22bdb55a6d20b09b885e087856a1bc398a09c7c970043f772d91ba4a63c810ff0,,,,not required,,,,,hours,,,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"approximate average duration,sample,time",group6,"91fbda,0.9;3c2222,1.0"
pre_conc_storage_time,,,453c757db45be0633e8a3508c87e3107f0891929fdd9a47de8f05462cf7b328fb44a0463035e85b3228a18f4c9119620da782b7b70fb1b8728df27660191fbda,,,The approximate average duration of time between when samples reach the lab and when they are concentrated (if concentrated),,,,,,hour,,,,,,Processing Method,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"approximate average duration,sample,time,lab",group6,"810ff0,0.9;d70521,1.0"
pre_conc_storage_time,The approximate average duration of time between when samples reach the lab and when they are concentrated (if concentrated),float,fe1b5e84504726df1528fb865feaa488cbecbb00b3a548b3507ad539008ffe52d9b945df3e7211ff94f4d756dd441ed350262fad8c74a2edfa179f85a2d70521,,,,not required,,,,,hours,,,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"approximate average duration,sample,time,lab",group6,"91fbda,1.0;3c2222,0.9"
pre_ext_storage_time,,,7f5ed4238688b935ef381fe4e88d9cd836a172d703246388bca05912a2db6328c567398b608749458a8ced8d4d7e5d1731cd1cb435d14a826fe9b92d0e3c2222,,,The approximate average duration of time between when samples are concentrated (if concentrated) and when they are extracted,,,,,,hour,,,,,,Processing Method,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"approximate average duration,sample,time",group6,"810ff0,1.0;d70521,0.9"
sample_collect_time,"The local time of sample collection; for composite samples, specify the time at which sample collection began","time, 24-hr ([hh]:[mm])",0d9b2673a40dd653ab8ad5fce3505825b16f0fed5db5adaede537f2c69bec2deb2c368c97906e07213044daadbde8a1d6f32b25805e757616d7ef7ad3845f113,,,,required,,,,,[none],,,,,,,,,,,,,,,,[time],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample collection,local time,composite sample,time",group7,"51d9ad,0.89;509b5a,1.0"
sample_collect_date,"The date of sample collection; for composite samples, specify the date on which sample collection began",date ([yyyy]-[mm]-[dd]),aa795b4c8ae60cf00a21b2c7f1abad4651237535e42c72cd686a02b2e28b475fd0aa170493754c8361a89ae3b890aa2031ed77533a1b20ef527765ed6d885859,,,,required,,,,,[none],,,,,,,,,,,,,,,,[date not after tomorrow's date],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample collection,date,composite sample",group7,"51d9ad,1.0;509b5a,0.89"
sample_collect_date,,,8b8083b351a17b2ccbf359066a9e5bfbffc577409d3a08c771f57d07ae5c153be22fafa0a08096600c27c15b8876adf4093ecb5a21241588dad0ba8c4451d9ad,,,"The date of sample collection; for composite samples, specify the date on which sample collection began",,,,,,,,,,,,Sample,date,,date_ymd,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample collection,date,composite sample",group7,"45f113,0.89;885859,1.0"
sample_collect_time,,,7ff2dcfb4a21f642a729598864008d0830342aab3d384d12730bb3eab5d29e831ef4d791ef6dd46c1b3d171ea27f47c15c93619d39a91205a3157cf2a9509b5a,,,"The local time of sample collection; for composite samples, specify the time at which sample collection began",,,,,,,,,,,,Sample,time,,time,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample collection,local time,composite sample,time",group7,"45f113,1.0;885859,0.89"
time_zone,"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",time zone (utc-[hh]:[mm]),c474c178badb7c14487a8c6aaedb9fe8c5fd17cd23170c018f3c9bb878592e082a77088f3ea98298320232026351042e8c985781a2939ca5578b28af51de133d,,,,not required,,,,,[none],,,,,,,,,,,,,,,,[time zone],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"current local time zone,sample_collect_time,time,utc time offset",group8,"09764d,1.0"
time_zone,,,b6cb383d2e54bcee568922ff6c5cbe3e1bff17b8889c4c921a9edaddc10e3c654d2b47ba6179faaf360103f472869fdb09343a8daca873f29d20e7107309764d,,,"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",,,,,,,,,,,,Sample,text,time zone (UTC-[hh]:[mm]),,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"current local time zone,sample_collect_time,time,utc time offset",group8,"de133d,1.0"
vaccine_rec1_dte,Note: Maximum expected day = Current day.,,9b769c21fa5a743f855921ecaad7a4986a0247d0a556138f5e7f2e007d84df63a0ec3e27d8ab3eac8c82fc98ad947547c4e7635ceca9b33480cf8aa80a09e465,,,On what date did you receive your first shot of the vaccine?,,,,,,,,,tier2_vaccine_acceptance,,,"In deciding whether to get the COVID-19 vaccine, how important are/were these statements to you ?  
1 = Not Important, 3 = Neutral,  5 = Very Important",text,MM/DD/YYYY,date_mdy,01/01/2020,,[covid_vaccine]='1' and [vaccine_dose]>= 1,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"date,shot,current day,note,maximum,vaccine",group9,"859732,0.72;080d58,0.74;e52c23,0.71"
when_did_you_receive_a_covid_19_or_coronavirus_vaccine__covid_19_vaccine_date,"When did you receive a COVID-19 or coronavirus vaccine?<br><em><br>If you don?t recall the exact date, please provide the best estimate. If you have received multiple doses, please report the date of your most recent dose.</em> | COVID-19 Vaccine Date",text,80d3023ab8cc844204dc2f408afbcf15d9fe1c123c9ddd53c4661475222ec8a2990bb22f877f252be115086bff4d10b701fbc29e2b92d175d1ba97ea0b326d7e,,,,, ,,,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"exact date,date,multiple dose,good estimate",group9,"1dedda,0.76"
