variable_name,description,datatype,Digest (variable_name|source_file|source_directory),survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,Concept,Comment,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories
30103-conditionsrisks-15,Following underlying conditions or risk factors selected;Sickle cell disease,categorical,bdfc3c8dd39be6a3a8cbfa0bc2ad02ef251fd94186fde43846f69c55a4d4e41d9331555009eaa0cc1a3421e819e441a53c8656dc554df6ac0d6dbdf5f939ea75,,,Do you have any of the following underlying conditions or risk factors? Sickle cell disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"sickle cell disease,cell disease,risk factor,condition"
30103-conditionsrisks-16,Following underlying conditions or risk factors selected;Cancer,categorical,a4dedfb53cb440a11143a1a20cdebe4a5f6d91246c57c979c796be1d9e5598c372f905614e7f7f2762a08c5b7806c4662b3af298aca2534b0b21294f2a59748b,,,Do you have any of the following underlying conditions or risk factors? Cancer,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"cancer,risk factor,condition"
30103-conditionsrisks-17,Following underlying conditions or risk factors selected;Current Vape Use,categorical,16d74e555f1b5b634bb994b4699aac2d294bf0a0eb079a32c4cd2c3176b9d705b0001f0fb2fcb773967f1e0ce3d147199595dca59477a44608d6b332b50ce7fd,,,Do you have any of the following underlying conditions or risk factors? Current Vape Use,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"current vape use,risk factor,condition,vape use"
30103-conditionsrisks-19,Following underlying conditions or risk factors selected;Other,categorical,cef96bdf6e799d4d64cda2246d31f2c53802d5e12448ab837fc9503e55f70e16cd4c70fc9d845c33f4411f0c93baf3c84af55707c0ec31c98e07cece110c8961,,,Do you have any of the following underlying conditions or risk factors? Other,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"risk factor,condition"
30103-conditionsrisks-2,Following underlying conditions or risk factors selected;Diabetes,categorical,a3a6711a5f9114b64c31cbf10e5617039c9b7c4f6ec8596fdeced0a8924c8efaf91b5f5b1d20a6685fe582380e290efd78bad1b6f4a08a240d52d2a2ca1c6e51,,,Do you have any of the following underlying conditions or risk factors? Diabetes,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"condition,risk factor,diabete"
30103-conditionsrisks-20,Following underlying conditions or risk factors selected;I do not have any underlying conditions or risk factors,categorical,aa93156246b6bc84eb14ed96e8e2ba4a0683d38291dc4d950137f505851925c78f95a846681f465d2cb3de8eca77a479e3a395e24597abb657e47eb04934cc3f,,,Do you have any of the following underlying conditions or risk factors? I do not have any underlying conditions or risk factors,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"risk factor,condition,underlie condition"
30103-conditionsrisks-22,Following underlying conditions or risk factors selected;Chronic kidney disease,categorical,87da899937f298e3f542e1eb0ae718d72b240bd33aac1a373aa23aa64473f85f1a742373b5944175dbe87510c24711bca4714310cf531ebd45d2c6bcda5319e9,,,Do you have any of the following underlying conditions or risk factors? Chronic kidney disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"kidney disease,risk factor,condition,chronic kidney disease"
30103-conditionsrisks-23,Following underlying conditions or risk factors selected;Chronic lung disease,categorical,45ea10b2628c0aa43093aeb1783d6585107ff7d1eaf5d133103880d28efaedab165feef37ce56f6c791e62e81f253d0c8367f90403688a1892b4a67d06a81e36,,,Do you have any of the following underlying conditions or risk factors? Chronic lung disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"condition,risk factor,lung disease,chronic lung disease"
30103-conditionsrisks-3,Following underlying conditions or risk factors selected;Hypertension,categorical,f0d6bb004bd683cc667752188b6dcfc8cba8e8b11d136f5b4091f8e5d210daca4076038216f19fc68ab6ce35ffd134a4fcf88033668efd49fd40dd967e9eba1f,,,Do you have any of the following underlying conditions or risk factors? Hypertension,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"hypertension,risk factor,condition"
30103-conditionsrisks-4,Following underlying conditions or risk factors selected;Obesity,categorical,76d9f993e6eb6b8aa959e37f81acecfdd89b219fcc371355f75bbd62b07d827bcbe5aa94599d875048a6c49550238c5805235c148a5f58657e4296502937fdd7,,,Do you have any of the following underlying conditions or risk factors? Obesity,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"obesity,risk factor,condition"
30103-conditionsrisks-5,Following underlying conditions or risk factors selected;Cardiovascular disease,categorical,13aa37f2f15b7a571744c5641cacf423b4e4a0090c77fd0d5a57ce57c91a976433b17aa12f2993a29e8dfb17c61c1d13491d29a2d60dabf22d621fdf1ee7823f,,,Do you have any of the following underlying conditions or risk factors? Cardiovascular disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"cardiovascular disease,disease,risk factor,condition"
30103-conditionsrisks-6,Following underlying conditions or risk factors selected;Renal disease,categorical,9b2dff6fd51695884d8c3e1f39ffd4050a476437a6aebb4208327db02b59277c65840203cb0dfcd341c61ca26c2eb13a6f3909c8985c43688d21aff1eb3b402b,,,Do you have any of the following underlying conditions or risk factors? Renal disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"risk factor,condition,renal disease"
30103-conditionsrisks-7,Following underlying conditions or risk factors selected;Liver disease,categorical,060bc9bdd4184fefcb6527c86aa811ed3c17e0c3a33e07edfc4be276fbb9b529d9d34aa10033974f6bd125e1926afe9d791a39132fbf5327970339dae55c2ef7,,,Do you have any of the following underlying conditions or risk factors? Liver disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"disease,risk factor,liver disease,condition"
