Digest (variable_name|source_file|source_directory),variable_name,description,datatype,survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group
a92653b9a7fd7d099dbbba675ee1ba07f3fbbb125d65c761298bb411c10daef205db0b7ac29f5cbbbaff8906e80258f81524f3396f00fe5b23b6b6e72eae86ea,how_often_do_you_smoke_cigarettes,How often do you smoke cigarettes?,text,,,,,"[""some_days"",""rarely"",""not_at_all"",""i_don_t_know"",""i_prefer_not_to_answer"",""every_day""]",,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,cigarette,group1
c54f01a12a4ae1d83027a1836185fc949b84acc2eb55b0998a8e12650dce90464f2c787a28eafa2e9012ca9a5e7edd8871b4347d0773804b074a11af604f2f02,smoker_cur_stat,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,,,,Do you now smoke cigarettes?,,"4, Every Day |3, Some Days | 1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,alcohol_and_tobacco,Alcohol and Tobacco/Nicotine Use,radio,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"cigarette,protocol",group1
30641e28e9a3a4b70f1767a553d0d6931e227e00d30a9fec800f825456955a92d2853758d088889fb11faa65d9a7bc173e5f107558ded0c05b0389bfaaa94673,do_you_currently_smoke_cigarettes_or_vape,Do you currently smoke cigarettes or vape?,text,,,,,"[""yes"",""no_i_used_to_smoke_and_or_vape_but_i_stopped"",""no_i_have_never_smoked_or_vaped""]",,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"vape,cigarette",group1
30e949b7f1b7f967af5ca8a4cbac35b261344b32def748eae7447d650113e434912b20a86105da3eaed1060ef23301520708189baa98c8a6bb06cf1730f66806,smoke_howmanydays,,integer,Your Smoking History,3,About how many days have you smoked a cigarette in the past 30 days?,TRUE,Integer,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigarette,day",group1
70373ddd7cb2f31f92b73f8c40ffa0d9d0f050d5a0b6f67ad5e67538df01e15f982950d7a30b8d8c68a120a246b06929fca74d50f76011b45a72e3a952ad7689,cross_smoking,,,,,"Smoked marijuana, a cigarette, a cigar, a pipe, e-cigarettes, vaped, or used snuff or chewing tobacco? /(11-17) Smoked marijuana, a cigarette, a cigar, or pipe, e-cigarettes, vaped, or used snuff or chewing tobacco?",,"1, Yes | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_ped,"In the past TWO (2) WEEKS, has your child ... (11-17) In the past TWO (2) WEEKS, have you...",radio,,,,,,,cross_cut_exposure,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"smoke marijuana,cigar,snuff,tobacco,cigarette",group1
438de13fbc943b1e5537f93cd99aed29b426c9734f70f9e67f003e4ee138c8d9883d783f509eb7f7741c650cc267df066a602352dbfa6b81cc0e213dcf599470,cig_day,,float,Your Smoking History,3,"On average, how many cigarettes per day have you smoked in the past 30 days (use 1 if less than one)",FALSE,,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigarette,day",group1
e6a31faa1ad3edfbb18005d614abc19bbb801064b601df35031994f5c1def0f90e77dc4e083a1ecf46becc095a483f8c6e54b91c7a2003f696bd351dd90715a8,tobacco_day,,float,Your Smoking History,3,"On average, how many cigar, cigarillo, or tobacco product (other than cigarettes) per day have you smoked in the past 30 days (use 1 if less than one)?",FALSE,Float,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigar,cigarette,tobacco product,day",group1
73dd5d785a359c0c2508a3e27040d7dd96e32413f36284e6a2d88c3e51e7a324d8f1f9298af77f86a20e15a4bc55e91a116da4d6458eb4cf710ffb94722e6537,n_cig,Smoking per day,text,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"cigarette,day",group1
d658b733546d46027b76d1711742a0b5a4276a28691d3384dcd874f1be0bd20cd7b5cef33cba67c361c8b728c54c3c9ff112d8a228763c98a9d92fd7c558d3cf,cigarette_ever,,select one,Your Smoking History,3,"Have you ever smoked a cigarette, even one or two puffs?",TRUE,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"puff,cigarette",group1
705f130956aa31f55dd945f89cccd5cfe14dc8ab423010087ad50641512fd41dd45298155439b0a2a48b1cd957287e634c42ca96726f2d085e9c5cbd089361f7,tobacco_ever,,select one,Your Smoking History,3,"Have you ever smoked a cigar, cigarillo, or tobacco product other than cigarette, even one or two puffs?",TRUE,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"puff,cigar,cigarette,tobacco product",group1
d435c860b0750f1113ad9cf88bc0b0c24962203b2e9a806bebb4ea0bc237b520ff879ffcfbc050a497b29166cde516f89ce8deb9d7b9873542decc465913e219,cigarette_past30days,,select one,Your Smoking History,3,Have you smoked cigarettes in the past 30 days?,TRUE,Yes;No;Refuse to answer,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigarette,day",group1
21828c230bd4ebe1753b02aa129f3150772bb3de01838d556d16a64b2bf07a8be47b3a4ce81b2c23fcc9e5b05b1980a342b405b1e21268b374582b3e254c8408,e_cig,e cigarette use,radio,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"1, Every day | 2, Some days | 3, Rarely | 4, Not at all",,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"electronic cigarette,day",group1
edda26f3aff55b6e0352f43202753ae8360b3da3fdb1c119dad9c8a9ee99e3e120a81b06c4a4d9ef6528dbe019b7892f641521b7f4c00d82c3745b80927ab81c,smoke,Smoke cigarettes,radio,,,"Do you now smoke cigarettes?

",,"1, Every day | 2, Some days | 3, Not at all | 4, DON'T KNOW | 5, REFUSED",,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"smoke cigarette,cigarette",group1
8e3f9ca75160ce2666a2067792bf58c76175ba2651da5ff358a91688bed81611efc934c0a95b8f605db2f2d566d528479aafd3e7124f749b1ba86dd5061fc0d7,tobacco_howmanydays,,integer,Your Smoking History,3,"About how many days have you smoked a cigar, cigarillo, or tobacco product other than cigarette in the past 30 days?",TRUE,|days,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigar,cigarette,tobacco product,day",group1
284bc775224a2ad101e15244580da8eef3910806e1523c180998dec4c5be708bbb2bf77a55be4d63740dcc73bc07b0379419b3eb7b1f858e584888e1a31813a7,how_often_do_you_use_electronic_cigarettes_or_vapes,How often do you use electronic cigarettes or vapes?,text,,,,,"[""not_at_all"",""every_day"",""some_days"",""rarely"",""i_don_t_know"",""i_prefer_not_to_answer""]",,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"vape,electronic cigarette",group1
a70c3e1dd00d6986be916f03e7f524b66b1d77002c82058b5bf6f7026590566337af46002d5988748fb77bc0c83cc8314aa742cdfa3f9e3367798e92d36a9b85,smoker_number,PX30604 |https://www.phenxtoolkit.org/protocols/view/30604|to https://www.cdc.gov/brfss/questionnaires/pdf-ques/2019-BRFSS-Questionnaire-508.pdf C09.01,,,,"If you smoke every day, on average, how many cigarettes per day do you smoke? ",,,,,,,,,alcohol_and_tobacco,Alcohol and Tobacco/Nicotine Use,text,,number,1,80,[smoker_cur_stat] ='4',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"cigarette,protocol,day",group1
2f00c5c0fab8ca856c3cb9c48282c11e2d818b501360bd765768f603183dd4683ec5f2a5cb170bedf1333056298c3fb1dac56a5cda53d6c3dfb75239b04554c9,tobacco_pastmonth,,select one,Your Smoking History,3,"Have you smoked a cigar, cigarillo, or tobacco product other than a cigarette in the past 30 days?",TRUE,Yes;No;Don't know;Refuse to answer,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,"cigar,cigarette,tobacco product,day",group1
9586f964d63d247e8143333da43ca86fc1993110b74032587c9ec206f7405d376a7a0607906ceffd89cf8741903179e419ba0baf2304bf6b9ef51d9b8bedeeed,on_average_how_many_cigarettes_per_day_do_you_smoke,"On average, how many cigarettes per day do you smoke?",text,,,,,"[""1"",""7"",""10"",""11"",""22"",""27"",""31"",""5"",""6"",""8"",""9"",""12"",""13"",""15"",""16"",""17"",""18"",""19"",""23"",""24"",""25"",""29"",""30"",""32"",""33"",""34"",""37"",""40"",""2"",""3"",""4"",""14"",""20"",""21"",""26"",""28"",""35"",""36"",""39"",""38""]",,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"cigarette,day",group1
fb55f66243d58ed2345d996da71be84a741cfe7e429ea2f1c189d9b28cfc63c5c9a07a0e52dfa1802b1ff8a2569d8717ea947239fdc2d7f01510a0d3e70544c1,vaper_cur_stat,|https://www.cdc.gov/tobacco/data_statistics/sgr/e-cigarettes/pdfs/2016_SGR_App_2-2_508.pdf),,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,alcohol_and_tobacco,Alcohol and Tobacco/Nicotine Use,radio,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"data_statistic,day,sgr,electronic cigarette,tobacco",group1
99507d8a506d7edbd6dd5f227c5c132f931b6aaada4634bfee1c9abac3a160603912dcc2408dcdf6da21ace814f5ea5bf4f47f892ef1151bc099cf2a0dcdab97,covid_test_result_raw,From RADx-UP Testing Core,,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,covid_test,Accessibility to testing,text,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"radx,raw test result,negative,test core,report,positive",group2
aa9f297d898b3c2229bb47e23513508c90f8fb8f35d298d023cb7e75644e7868ea4f723cf63ef4d0b4ecd171f400b08c9c345f7cf1e64f3f0b78b78bf0fe569f,covid_test_result_raw,,,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,,Covid Testing,text,,,,,,,,RADx-UP Testing Core,,,RADxrad_COVID_Testing_Data_Elements_v000.xlsx [RADxrad_COVID_Testing_Data_Elem].csv,RADx-rad,"negative,report,raw test result,positive",group2
1083704d7c5e6aa301cec658991d5e8df5217f1acc7dceca50ae6f90fbc9c0f3c49142a8bcb1c51ce77ecd7fd96a51abc1cc79a72fec065e1b8ccc36f2dce137,data_source,,,,,What is the source of these data?,,"1, Participant Direct Report|2,Secondary Medical Record Dataset|3,Mixed",,,,,,,tier2_other,How much do you trust each of these sources to provide correct information about COVID 19?  (Select one response for each row.),radio,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"datum,source",group3
c505af4ab189ad86e829970b89b640909091bd273493f2bbcd7334de6ffe95aad7573bb2b18c290eedbf02507b4d9755fa11eb3f2ec6121668b677f3daa5053e,data_source,Source of Data,text,,,,,,,,,,,,,,,,,,,,,,,,,medications_data_dictionary_origcopy.csv,RADx-DHT,"datum,source",group3
556911b4778c74a65aae8cdd9c4a791076e85244059aa8486951c65099d524c22bdb55a6d20b09b885e087856a1bc398a09c7c970043f772d91ba4a63c810ff0,pre_ext_storage_time,The approximate average duration of time between when samples are concentrated (if concentrated) and when they are extracted,float,,,,not required,,,,,hours,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample,time,approximate average duration",group4
d9706df479997b92a4bccd32efa64ff7ea843e664f6fbc2357514dee0f59385dbb33100f83a518a9ec0c84f8277663cfad3745f23f83e0d479266d10f581339b,pre_ext_storage_temp,The storage temperature of samples after concentration (if concentrated) and prior to extraction,float,,,,not required,,,,,celsius,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"storage temperature,extraction,sample,concentration",group4
5edaa46466e23b167ef9a7227ead852d68de31a4d135eaee287939ebcada7456106490d3ef060e3fc4318797fa02edaedf597feb871e31d266ca5bc850e1c26c,collection_storage_time,,,,,Duration of time the sample was stored after collection and prior to reaching the lab,,,,,,hour,,,,Collection Method,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"collection,lab,sample,duration,time",group4
b676bde5e21aab12a2db2fb84aa6303105d8967241a53e6c816d20fb02ec67c36c25081f048d212aa6690cc28cf5338f5a6c5086a3ba8b114ed6adaddf530664,pre_conc_storage_temp,,,,,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),,,,,,celsius,,,,Processing Method,float,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"storage temperature,lab,sample,concentration",group4
fe1b5e84504726df1528fb865feaa488cbecbb00b3a548b3507ad539008ffe52d9b945df3e7211ff94f4d756dd441ed350262fad8c74a2edfa179f85a2d70521,pre_conc_storage_time,The approximate average duration of time between when samples reach the lab and when they are concentrated (if concentrated),float,,,,not required,,,,,hours,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"lab,sample,time,approximate average duration",group4
7f5ed4238688b935ef381fe4e88d9cd836a172d703246388bca05912a2db6328c567398b608749458a8ced8d4d7e5d1731cd1cb435d14a826fe9b92d0e3c2222,pre_ext_storage_time,,,,,The approximate average duration of time between when samples are concentrated (if concentrated) and when they are extracted,,,,,,hour,,,,Processing Method,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample,time,approximate average duration",group4
453c757db45be0633e8a3508c87e3107f0891929fdd9a47de8f05462cf7b328fb44a0463035e85b3228a18f4c9119620da782b7b70fb1b8728df27660191fbda,pre_conc_storage_time,,,,,The approximate average duration of time between when samples reach the lab and when they are concentrated (if concentrated),,,,,,hour,,,,Processing Method,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"lab,sample,time,approximate average duration",group4
eb7254fa3e165c9b8a104e77d51827ef3f28df35808de503b6773746864e1d0fd04a2a4e57c458d241b85ecedb2f8bfca7f926b93913a6fb6d9fe3aa7723c1c6,collection_storage_time,Duration of time the sample was stored after collection and prior to reaching the lab,float,,,,not required,,,,,hours,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"collection,lab,sample,duration,time",group4
6ac62cbf9a756d13c9e6ec4eed2d105f6be30121cbb2b92699a42e174c33fafaafedcae12ce79cb8f890e899ea44164b1da6c45eb390167925b5fafbe1f878d3,pre_ext_storage_temp,,,,,The storage temperature of samples after concentration (if concentrated) and prior to extraction,,,,,,celsius,,,,Processing Method,float,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"storage temperature,extraction,sample,concentration",group4
eb2bcac90b5e7b729cf5768c39446df20f915a2821f093dd2e5d5330ffdab3f67b073ee8a54f37df1c2f52b61ad74bbc366654af0c98b75025010dd4fef56e64,pre_conc_storage_temp,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),float,,,,not required,,,,,celsius,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"storage temperature,lab,sample,concentration",group4
efbd11ba7cdee793808f1690f2f2f71e4d33862f50813ad6822d1e256f21059f512a84844286c6bfd1c6140bd07781b4768a253ecb1863861da8a9df9e0e6cea,collection_storage_temp,,,,,Temperature at which the sample was stored after collection and prior to reaching the lab,,,,,,celsius,,,,Collection Method,float,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"collection,lab,sample,temperature",group4
76438ea1a0558ccc2710ed6dca9bec2154a9d1316e63fb9d7693c76e356b5cfe573708fd309aea4eced6d0bf84ed00b45d82dff6d6b970162d07dc62787dd3e4,collection_storage_temp,Temperature at which the sample was stored after collection and prior to reaching the lab,float,,,,not required,,,,,celsius,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"collection,lab,sample,temperature",group4
77fa4d190079916edc59a7a05a835d867d528edfbb66b97ed408cd36f3360ed47dd9ddccacc52f5ca6ef722cb09a822d97e5400b5c6800703e080a8de80f1dee,collection_water_temp,Sample temperature at time of collection,float,,,,not required,,,,,celsius,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"collection,sample temperature,time",group5
b1c76ceef884dcadf37746fe4593984b08bd16a02094d1e86380cbc97d13b3686607664b4f8cfe9918784f8603482bb0618625699f682881211e15fd5637aebe,collection_water_temp,,,,,Sample temperature at time of collection,,,,,,celsius,,,,Sample,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"collection,sample temperature,time",group5
8b8083b351a17b2ccbf359066a9e5bfbffc577409d3a08c771f57d07ae5c153be22fafa0a08096600c27c15b8876adf4093ecb5a21241588dad0ba8c4451d9ad,sample_collect_date,,,,,"The date of sample collection; for composite samples, specify the date on which sample collection began",,,,,,,,,,Sample,date,,date_ymd,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"date,sample collection,composite sample",group6
aa795b4c8ae60cf00a21b2c7f1abad4651237535e42c72cd686a02b2e28b475fd0aa170493754c8361a89ae3b890aa2031ed77533a1b20ef527765ed6d885859,sample_collect_date,"The date of sample collection; for composite samples, specify the date on which sample collection began",date ([yyyy]-[mm]-[dd]),,,,required,,,,,[none],,,,,,,,,,,,,,[date not after tomorrow's date],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"date,sample collection,composite sample",group6
0d9b2673a40dd653ab8ad5fce3505825b16f0fed5db5adaede537f2c69bec2deb2c368c97906e07213044daadbde8a1d6f32b25805e757616d7ef7ad3845f113,sample_collect_time,"The local time of sample collection; for composite samples, specify the time at which sample collection began","time, 24-hr ([hh]:[mm])",,,,required,,,,,[none],,,,,,,,,,,,,,[time],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"local time,sample collection,time,composite sample",group6
7ff2dcfb4a21f642a729598864008d0830342aab3d384d12730bb3eab5d29e831ef4d791ef6dd46c1b3d171ea27f47c15c93619d39a91205a3157cf2a9509b5a,sample_collect_time,,,,,"The local time of sample collection; for composite samples, specify the time at which sample collection began",,,,,,,,,,Sample,time,,time,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"local time,sample collection,time,composite sample",group6
c474c178badb7c14487a8c6aaedb9fe8c5fd17cd23170c018f3c9bb878592e082a77088f3ea98298320232026351042e8c985781a2939ca5578b28af51de133d,time_zone,"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",time zone (utc-[hh]:[mm]),,,,not required,,,,,[none],,,,,,,,,,,,,,[time zone],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"current local time zone,utc time offset,sample_collect_time,time",group7
b6cb383d2e54bcee568922ff6c5cbe3e1bff17b8889c4c921a9edaddc10e3c654d2b47ba6179faaf360103f472869fdb09343a8daca873f29d20e7107309764d,time_zone,,,,,"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",,,,,,,,,,Sample,text,time zone (UTC-[hh]:[mm]),,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"current local time zone,utc time offset,sample_collect_time,time",group7
fc3b364ce74dc7e31d7d4964748d75e2a3649dd2a15581be9f60c9af9908d125859506fee0a37663c2ee0dca60ea307a35bdfd4a2a1113579f2bb61f78322add,vaccine_edu_post,,,,,"After your vaccination, were you given information or brochures about the vaccine and/or COVID-19?",,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,tier2_vaccine_acceptance,"In deciding whether to get the COVID-19 vaccine, how important are/were these statements to you ?  
1 = Not Important, 3 = Neutral,  5 = Very Important",radio,"This would include materials or discussions with your doctor, your library or church, a government health agency, university/college, or community health organization.",,,,[covid_vaccine] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"vaccination,brochure,vaccine,information",group8
