Digest (variable_name|source_file|source_directory),variable_name,description,datatype,survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group,matches
21828c230bd4ebe1753b02aa129f3150772bb3de01838d556d16a64b2bf07a8be47b3a4ce81b2c23fcc9e5b05b1980a342b405b1e21268b374582b3e254c8408,e_cig,e cigarette use,radio,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"1, Every day | 2, Some days | 3, Rarely | 4, Not at all",,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"electronic cigarette,day",group2,"0544c1,0.94"
fb55f66243d58ed2345d996da71be84a741cfe7e429ea2f1c189d9b28cfc63c5c9a07a0e52dfa1802b1ff8a2569d8717ea947239fdc2d7f01510a0d3e70544c1,vaper_cur_stat,|https://www.cdc.gov/tobacco/data_statistics/sgr/e-cigarettes/pdfs/2016_SGR_App_2-2_508.pdf),,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,alcohol_and_tobacco,Alcohol and Tobacco/Nicotine Use,radio,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"data_statistic,day,sgr,electronic cigarette,tobacco",group2,"4c8408,0.94;1813a7,0.73"
284bc775224a2ad101e15244580da8eef3910806e1523c180998dec4c5be708bbb2bf77a55be4d63740dcc73bc07b0379419b3eb7b1f858e584888e1a31813a7,how_often_do_you_use_electronic_cigarettes_or_vapes,How often do you use electronic cigarettes or vapes?,text,,,,,"[""not_at_all"",""every_day"",""some_days"",""rarely"",""i_don_t_know"",""i_prefer_not_to_answer""]",,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"vape,electronic cigarette",group2,"0544c1,0.73"
99507d8a506d7edbd6dd5f227c5c132f931b6aaada4634bfee1c9abac3a160603912dcc2408dcdf6da21ace814f5ea5bf4f47f892ef1151bc099cf2a0dcdab97,covid_test_result_raw,From RADx-UP Testing Core,,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,covid_test,Accessibility to testing,text,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"radx,raw test result,negative,test core,report,positive",group3,"fe569f,0.85"
aa9f297d898b3c2229bb47e23513508c90f8fb8f35d298d023cb7e75644e7868ea4f723cf63ef4d0b4ecd171f400b08c9c345f7cf1e64f3f0b78b78bf0fe569f,covid_test_result_raw,,,,,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,,Covid Testing,text,,,,,,,,RADx-UP Testing Core,,,RADxrad_COVID_Testing_Data_Elements_v000.xlsx [RADxrad_COVID_Testing_Data_Elem].csv,RADx-rad,"negative,report,raw test result,positive",group3,"cdab97,0.85"
eb2bcac90b5e7b729cf5768c39446df20f915a2821f093dd2e5d5330ffdab3f67b073ee8a54f37df1c2f52b61ad74bbc366654af0c98b75025010dd4fef56e64,pre_conc_storage_temp,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),float,,,,not required,,,,,celsius,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"storage temperature,lab,sample,concentration",group4,"530664,1.0;0e6cea,0.74;f878d3,0.87"
5edaa46466e23b167ef9a7227ead852d68de31a4d135eaee287939ebcada7456106490d3ef060e3fc4318797fa02edaedf597feb871e31d266ca5bc850e1c26c,collection_storage_time,,,,,Duration of time the sample was stored after collection and prior to reaching the lab,,,,,,hour,,,,Collection Method,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"collection,lab,sample,duration,time",group4,"7dd3e4,0.84;23c1c6,1.0"
b676bde5e21aab12a2db2fb84aa6303105d8967241a53e6c816d20fb02ec67c36c25081f048d212aa6690cc28cf5338f5a6c5086a3ba8b114ed6adaddf530664,pre_conc_storage_temp,,,,,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),,,,,,celsius,,,,Processing Method,float,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"storage temperature,lab,sample,concentration",group4,"f56e64,1.0;7dd3e4,0.74;81339b,0.87"
76438ea1a0558ccc2710ed6dca9bec2154a9d1316e63fb9d7693c76e356b5cfe573708fd309aea4eced6d0bf84ed00b45d82dff6d6b970162d07dc62787dd3e4,collection_storage_temp,Temperature at which the sample was stored after collection and prior to reaching the lab,float,,,,not required,,,,,celsius,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"collection,lab,sample,temperature",group4,"e1c26c,0.84;530664,0.74;0e6cea,1.0"
d9706df479997b92a4bccd32efa64ff7ea843e664f6fbc2357514dee0f59385dbb33100f83a518a9ec0c84f8277663cfad3745f23f83e0d479266d10f581339b,pre_ext_storage_temp,The storage temperature of samples after concentration (if concentrated) and prior to extraction,float,,,,not required,,,,,celsius,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"storage temperature,extraction,sample,concentration",group4,"530664,0.87;f878d3,1.0"
efbd11ba7cdee793808f1690f2f2f71e4d33862f50813ad6822d1e256f21059f512a84844286c6bfd1c6140bd07781b4768a253ecb1863861da8a9df9e0e6cea,collection_storage_temp,,,,,Temperature at which the sample was stored after collection and prior to reaching the lab,,,,,,celsius,,,,Collection Method,float,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"collection,lab,sample,temperature",group4,"f56e64,0.74;7dd3e4,1.0;23c1c6,0.84"
6ac62cbf9a756d13c9e6ec4eed2d105f6be30121cbb2b92699a42e174c33fafaafedcae12ce79cb8f890e899ea44164b1da6c45eb390167925b5fafbe1f878d3,pre_ext_storage_temp,,,,,The storage temperature of samples after concentration (if concentrated) and prior to extraction,,,,,,celsius,,,,Processing Method,float,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"storage temperature,extraction,sample,concentration",group4,"f56e64,0.87;81339b,1.0"
eb7254fa3e165c9b8a104e77d51827ef3f28df35808de503b6773746864e1d0fd04a2a4e57c458d241b85ecedb2f8bfca7f926b93913a6fb6d9fe3aa7723c1c6,collection_storage_time,Duration of time the sample was stored after collection and prior to reaching the lab,float,,,,not required,,,,,hours,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"collection,lab,sample,duration,time",group4,"e1c26c,1.0;0e6cea,0.84"
b1c76ceef884dcadf37746fe4593984b08bd16a02094d1e86380cbc97d13b3686607664b4f8cfe9918784f8603482bb0618625699f682881211e15fd5637aebe,collection_water_temp,,,,,Sample temperature at time of collection,,,,,,celsius,,,,Sample,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"collection,sample temperature,time",group5,"0f1dee,1.0"
77fa4d190079916edc59a7a05a835d867d528edfbb66b97ed408cd36f3360ed47dd9ddccacc52f5ca6ef722cb09a822d97e5400b5c6800703e080a8de80f1dee,collection_water_temp,Sample temperature at time of collection,float,,,,not required,,,,,celsius,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"collection,sample temperature,time",group5,"37aebe,1.0"
7f5ed4238688b935ef381fe4e88d9cd836a172d703246388bca05912a2db6328c567398b608749458a8ced8d4d7e5d1731cd1cb435d14a826fe9b92d0e3c2222,pre_ext_storage_time,,,,,The approximate average duration of time between when samples are concentrated (if concentrated) and when they are extracted,,,,,,hour,,,,Processing Method,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample,time,approximate average duration",group6,"810ff0,1.0;d70521,0.9"
556911b4778c74a65aae8cdd9c4a791076e85244059aa8486951c65099d524c22bdb55a6d20b09b885e087856a1bc398a09c7c970043f772d91ba4a63c810ff0,pre_ext_storage_time,The approximate average duration of time between when samples are concentrated (if concentrated) and when they are extracted,float,,,,not required,,,,,hours,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample,time,approximate average duration",group6,"3c2222,1.0;91fbda,0.9"
fe1b5e84504726df1528fb865feaa488cbecbb00b3a548b3507ad539008ffe52d9b945df3e7211ff94f4d756dd441ed350262fad8c74a2edfa179f85a2d70521,pre_conc_storage_time,The approximate average duration of time between when samples reach the lab and when they are concentrated (if concentrated),float,,,,not required,,,,,hours,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"lab,sample,time,approximate average duration",group6,"3c2222,0.9;91fbda,1.0"
453c757db45be0633e8a3508c87e3107f0891929fdd9a47de8f05462cf7b328fb44a0463035e85b3228a18f4c9119620da782b7b70fb1b8728df27660191fbda,pre_conc_storage_time,,,,,The approximate average duration of time between when samples reach the lab and when they are concentrated (if concentrated),,,,,,hour,,,,Processing Method,float,,,0,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"lab,sample,time,approximate average duration",group6,"810ff0,0.9;d70521,1.0"
0d9b2673a40dd653ab8ad5fce3505825b16f0fed5db5adaede537f2c69bec2deb2c368c97906e07213044daadbde8a1d6f32b25805e757616d7ef7ad3845f113,sample_collect_time,"The local time of sample collection; for composite samples, specify the time at which sample collection began","time, 24-hr ([hh]:[mm])",,,,required,,,,,[none],,,,,,,,,,,,,,[time],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"local time,sample collection,time,composite sample",group7,"509b5a,1.0;51d9ad,0.89"
7ff2dcfb4a21f642a729598864008d0830342aab3d384d12730bb3eab5d29e831ef4d791ef6dd46c1b3d171ea27f47c15c93619d39a91205a3157cf2a9509b5a,sample_collect_time,,,,,"The local time of sample collection; for composite samples, specify the time at which sample collection began",,,,,,,,,,Sample,time,,time,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"local time,sample collection,time,composite sample",group7,"45f113,1.0;885859,0.89"
8b8083b351a17b2ccbf359066a9e5bfbffc577409d3a08c771f57d07ae5c153be22fafa0a08096600c27c15b8876adf4093ecb5a21241588dad0ba8c4451d9ad,sample_collect_date,,,,,"The date of sample collection; for composite samples, specify the date on which sample collection began",,,,,,,,,,Sample,date,,date_ymd,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"date,sample collection,composite sample",group7,"45f113,0.89;885859,1.0"
aa795b4c8ae60cf00a21b2c7f1abad4651237535e42c72cd686a02b2e28b475fd0aa170493754c8361a89ae3b890aa2031ed77533a1b20ef527765ed6d885859,sample_collect_date,"The date of sample collection; for composite samples, specify the date on which sample collection began",date ([yyyy]-[mm]-[dd]),,,,required,,,,,[none],,,,,,,,,,,,,,[date not after tomorrow's date],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"date,sample collection,composite sample",group7,"509b5a,0.89;51d9ad,1.0"
c474c178badb7c14487a8c6aaedb9fe8c5fd17cd23170c018f3c9bb878592e082a77088f3ea98298320232026351042e8c985781a2939ca5578b28af51de133d,time_zone,"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",time zone (utc-[hh]:[mm]),,,,not required,,,,,[none],,,,,,,,,,,,,,[time zone],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"current local time zone,utc time offset,sample_collect_time,time",group8,"09764d,1.0"
b6cb383d2e54bcee568922ff6c5cbe3e1bff17b8889c4c921a9edaddc10e3c654d2b47ba6179faaf360103f472869fdb09343a8daca873f29d20e7107309764d,time_zone,,,,,"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",,,,,,,,,,Sample,text,time zone (UTC-[hh]:[mm]),,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"current local time zone,utc time offset,sample_collect_time,time",group8,"de133d,1.0"
cb44caa9c643813a216e0434c905b36603030a651327d9599a29bfd815953d8cff3ece351d0b58f4e09b5dbb91c84bf92595118e3675d107fdee43c5731dedda,vaccine_last_dte,Note: Maximum expected day = Current day.,,,,On what date did you receive your most recent shot of the vaccine?,,,,,,,,,tier2_vaccine_acceptance,"In deciding whether to get the COVID-19 vaccine, how important are/were these statements to you ?  
1 = Not Important, 3 = Neutral,  5 = Very Important",text,MM/DD/YYYY,date_mdy,01/01/2020,,[covid_vaccine]='1' and [vaccine_dose]>= 2,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"note,vaccine,current day,recent shot,maximum,date",group9,"c6bba1,0.76;e52c23,0.76;ec0654,0.76;080d58,0.71;859732,0.71;326d7e,0.76;8c5c8e,0.76"
48e0ad527ea42ccca5dcb1aa976a76467687030337b3a3aed6527777a10bea1d40da097e90df2f08fc8a0f271813c3e7a1de3a67533d1cc151b476cc29c6bba1,when_did_you_receive_a_covid_19_or_coronavirus_vaccine3__covid_19_vaccine_date,"When did you receive a COVID-19 or coronavirus vaccine??<br><em><br>If you don?t recall the exact date, please provide the best estimate. If you have received multiple doses, please report the date of your most recent dose.</em> | COVID-19 Vaccine Date",text,,,,, ,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"date,multiple dose,good estimate,exact date",group9,"1dedda,0.76"
f0ea0871a6c62b3e2b7df6fb1d17db3ad1ad9de26e01a8bbf313a1a014b453b7fdc9fde0eb5bd190821aeb85c1ac9c0b6d11af326fd5300959d1a9fe67e52c23,when_did_you_receive_a_covid_19_or_coronavirus_vaccine2__covid_19_vaccine_date,"When did you receive a COVID-19 or coronavirus vaccine??<br><em>If you don?t recall the exact date, please provide the best estimate. If you have received multiple doses, please report the date of your most recent dose.</em> | COVID-19 Vaccine Date",text,,,,,,,,,,,,,,,,,,,,,,,,,survey__weekly_survey_origcopy.csv,RADx-DHT,"good estimate,multiple dose,coronavirus,date,exact date",group9,"1dedda,0.76;09e465,0.71"
c120451c97081e7151626e9e8e216160dce0028bd73b90b3aa6f17f73c85b3ac67e332dc8ecb843beb289a5b9a917c871619a664a70ce7e7bce783726eec0654,when_did_you_receive_a_covid_19_or_coronavirus_vaccine2__covid_19_vaccine_date,"When did you receive a COVID-19 or coronavirus vaccine?<br><em><br>If you don?t recall the exact date, please provide the best estimate. If you have received multiple doses, please report the date of your most recent dose.</em> | COVID-19 Vaccine Date",text,,,,, ,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"date,multiple dose,good estimate,exact date",group9,"1dedda,0.76"
9b769c21fa5a743f855921ecaad7a4986a0247d0a556138f5e7f2e007d84df63a0ec3e27d8ab3eac8c82fc98ad947547c4e7635ceca9b33480cf8aa80a09e465,vaccine_rec1_dte,Note: Maximum expected day = Current day.,,,,On what date did you receive your first shot of the vaccine?,,,,,,,,,tier2_vaccine_acceptance,"In deciding whether to get the COVID-19 vaccine, how important are/were these statements to you ?  
1 = Not Important, 3 = Neutral,  5 = Very Important",text,MM/DD/YYYY,date_mdy,01/01/2020,,[covid_vaccine]='1' and [vaccine_dose]>= 1,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"note,vaccine,current day,maximum,date,shot",group9,"e52c23,0.71;080d58,0.74;859732,0.72"
bcf2bc2941694297823e470179829d44c2f58c0e589b8fc9bff4ccde21b48a299c92d2e3df318f57b65a3018bc8c5b371603204be847f862374934c79d080d58,32014-covid_vaccine_date_deid,Number of days from day of Consent when Participant received a first vaccine,integer,,,What was the date that you received your first COVID vaccine?,TRUE,De-identified Value in Days,,,,days,,,Symptom Screening,,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"covid vaccine,day,vaccine,date,consent,participant",group9,"1dedda,0.71;09e465,0.74"
e0e86946279e452f470efabe1d74bd482e32cb4f2d5a663bedffded74a70b5fc945cf62b84e590da0c8717fef474de1719823cef6ae303956dd261db51859732,date_first_dose,,date,Vaccine Survey,2,What was the date of your first COVID-19 vaccine (OK to guess if unsure)?,TRUE,Date,,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,date,group9,"1dedda,0.71;09e465,0.72"
80d3023ab8cc844204dc2f408afbcf15d9fe1c123c9ddd53c4661475222ec8a2990bb22f877f252be115086bff4d10b701fbc29e2b92d175d1ba97ea0b326d7e,when_did_you_receive_a_covid_19_or_coronavirus_vaccine__covid_19_vaccine_date,"When did you receive a COVID-19 or coronavirus vaccine?<br><em><br>If you don?t recall the exact date, please provide the best estimate. If you have received multiple doses, please report the date of your most recent dose.</em> | COVID-19 Vaccine Date",text,,,,, ,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"date,multiple dose,good estimate,exact date",group9,"1dedda,0.76"
dc410f3e53fd5751abb6cae3581f6b1b77b2bfa7684a07dbfab925c75a27ffe301ff2b6abcc5be7c27b935ddfe669c88856b4d396aef49a3a7c03fa5e18c5c8e,when_did_you_receive_a_covid_19_or_coronavirus_vaccine__covid_19_vaccine_date,"When did you receive a COVID-19 or coronavirus vaccine?<br><em><br>If you don?t recall the exact date, please provide the best estimate. If you have received multiple doses, please report the date of your most recent dose.</em> | COVID-19 Vaccine Date",text,,,,,,,,,,,,,,,,,,,,,,,,,survey__weekly_survey_origcopy.csv,RADx-DHT,"date,multiple dose,good estimate,exact date",group9,"1dedda,0.76"
ecd10522dc2be562d49c6ecf8783717e08dbb643e85f45a4ed55ac73f48e8f137ccfb85015985a08e6eff147d285d826641a1483109a63d840a451eceda86ea5,test_result_date,The date on which this SARS-CoV-2 measurement was made,date ([yyyy]-[mm]-[dd]),,,,required,,,,,[none],,,,,,,,,,,,,,[date not after tomorrow's date and not before 'sample_collect_date'],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"date,sar",group10,"c8641e,1.0"
34d646b8b390495115d53ba84f29c865c1ce0f97326e3d7bf481b852270995f9eb2a5a376cf7c8242526bc202be898b29decc3aa7af6f304558e155088c8641e,test_result_date,,,,,The date on which this SARS-CoV-2 measurement was made,,,,,,,,,,SARSCoV2 Quantification Method,date,Lab result date,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"date,sar",group10,"a86ea5,1.0"
82259de914873c97f4adbfaa1280671c0621f37d2cc674321e185f56ae8fe573a7f9b3691132d0abe35ed376bb4a589c9dbef488f8f378235cdbe645afaa3938,num_no_target_control,Number of no-template controls (NTC) per instrument run,category,,,,required,,,,,[none],,,,,,,,,,,,,,,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"number,ntc,template control,instrument run",group11,"585bab,1.0"
ef0b5f5783ae739a6a053c4cf19cf0179b109d7aebf83614f82e968a8ef7847f5532cd6267ad731989d98d538bd12199864dfde5c5ddc34bb9d82b99c6585bab,num_no_target_control,,,,,Number of no-template controls (NTC) per instrument run,,0 | 1 | 2 | 3 | more than 3,,,,,,,,SARSCoV2 Quantification Method,category,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"number,ntc,template control,instrument run",group11,"aa3938,1.0"
f169445d58c80aa007e15fdd360f8b121e93bff9f10387966ee861ef806e98d949519989eaefecb6e96fa33083bd12998d18c2f9d5cc66a0b8486cdc43c560eb,hum_frac_target_mic,,,,,Name of microbial target used to estimate human fecal content,,pepper mild mottle virus | crassphage | hf183,,,,,,,,SARSCoV2 Quantification Method,category,"definitions of choices, e.g., crassphage, hf183?",,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,",microbial target,human fecal content",group12,"27c9a3,0.79;991d5c,1.0"
c9edfa67d978b898d88a320d27062bbe068eb243c0c5ec8280a077b6130a6b1ba5f5830465518800396737f20e368e4fa665506ef30e5a5a96c6af5a7527c9a3,hum_frac_target_chem,Name of chemical compound used to estimate human fecal content,category,,,,not required,,,,,[none],,,,,,,,,,,,,,,"If 'hum_frac_chem_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,",chemical compound,human fecal content",group12,"c560eb,0.79;244e10,1.0"
