variable_name,description,datatype,survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,section_header,ui,field_note,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories
29889-kit_date_deid,Number of days from day of Consent when Participant received the at-home test kits,integer,,,Please confirm the date you received the test kit.,true,De-identified Value in Days,,,,days,,,I Received My Testing Kit,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"receive,test kit,confirm,date"
30072-household,Participant housing/living conditions,categorical,,,How would you describe your current household/living arrangements?,true,"1, House or single family home; 9, Townhome or Duplex; 2, High-rise apartment/condo building (Your front door is not exposed to the outside); 3, Garden-style apartment/condo (Your front door is exposed to the outside); 4, Nursing home or assisted living facility; 5, Mobile home; 6, Group home or rehab facility; 11, Military Base; 10, Homeless or Transient; 7, Other; 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,",describe,current household,live arrangement"
30075-other_household,Total number of other people living in participant's home,categorical,,,"How many people, other than you, live in the same household with you?

Please enter the number below.",true,"1, Just Myself; 2, 1; 3, 2; 4, 3; 5, 4; 6, Other (5 or more); 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"household,people,number,live,enter"
30081-general_health,General Health Response,categorical,,,How would you rate your general health?,true,"1, Excellent; 2, Very good; 3, Good; 4, Fair; 5, Poor; 999, Prefer not to answer",,,,,,Health Status,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,",general health,rate"
30082-race-1,Race selected; White,categorical,,,What is your race? White,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"white,race"
30082-race-2,Race selected; Black or African American,categorical,,,What is your race? Black or African American,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"race,african american,black"
30082-race-3,Race selected; Asian,categorical,,,What is your race? Asian,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"asian,race"
30082-race-4,Race selected; American Indian or Alaska Native,categorical,,,What is your race? American Indian or Alaska Native,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"american indian,alaska native,race"
30082-race-5,Race selected; Native Hawaiian or Other Pacific Islander,categorical,,,What is your race? Native Hawaiian or Other Pacific Islander,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"pacific islander,race,native hawaiian"
30082-race-6,Race selected; Other,categorical,,,What is your race? Other,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,race
30082-race-998,Race selected; None of the above,categorical,,,What is your race? None of the above,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,",race"
30082-race-999,Race selected; Prefer not to answer,categorical,,,What is your race? Prefer not to answer,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Race,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"prefer,race,answer"
30085-ethnicity,Ethnicity,categorical,,,What is your ethnicity?,true,"1, Hispanic or Latino; 2, Non-Hispanic or Latino; 3, Unknown; 999, Prefer not to answer",,,,,,Ethnicity,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,ethnicity
30086-gender-1,Gender identity selected; Man,categorical,,,What terms best express how you describe your gender identity? Man,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"describe,term express,man,gender identity"
30086-gender-2,Gender identity selected; Woman,categorical,,,What terms best express how you describe your gender identity? Woman,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"woman,term express,describe,gender identity"
30086-gender-3,Gender identity selected; Non-Binary,categorical,,,What terms best express how you describe your gender identity? Non-Binary,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"describe,term express,non,gender identity,binary"
30086-gender-5,Gender identity selected; Transgender,categorical,,,What terms best express how you describe your gender identity? Transgender,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"transgender,describe,term express,gender identity"
30086-gender-999,Gender identity selected; Prefer not to answer,categorical,,,What terms best express how you describe your gender identity? Prefer not to answer,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"prefer,describe,answer,term express,gender identity"
30090-birthsex,Sex at Birth,categorical,,,What was your biological sex assigned at birth?,true,"1, Female; 2, Male; 7, Other; 999, Prefer not to answer",,,,,,Sex,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"birth,biological sex assign"
30091-education,Education Reached,categorical,,,What is the highest grade or year of school you completed?,true,"1, Never attended school or only attended kindergarten; 2, Grades 1 through 4 (Primary); 3, Grades 5 through 8 (Middle school); 4, Grades 9 through 11 (Some high school); 5, Grade 12 or GED (High school graduate); 6, 1 to 3 years after high school (Some college, Associate's degree, or technical school); 7, College 4 years or more (College graduate); 8, Advanced degree (Master's, Doctorate, etc.); 999, Prefer not to answer",,,,,,Education,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"complete,school,high grade,year"
30097-height_options,Unable to provide height,categorical,,,"Please provide a selection, if you are unable to provide your current height:",false,"1, I don't know; 2, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"provide,selection,current height,unable"
30100-weight_options,Unable to provide weight,categorical,,,"Please provide a selection, if you are unable to provide your current weight:",false,"1, I don't know; 2, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"provide,current weight,unable,selection"
30101-ace_medication,ACE medication details,categorical,,,"Are you taking any ACE Inhibitor medications (such as Benazepril, Captopril, Enalapril, Fosinopril, Lisinopril, Moexipril, etc.)?",true,"1, No; 2, Yes; 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,",fosinopril,lisinopril,captopril,enalapril,benazepril,ace inhibitor medication,moexipril,etc"
30102-blood_type,Blood Type,categorical,,,What is your blood type?,true,"1, O; 2, A; 3, B; 4, AB; 5, Don't know; 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,blood type
30103-conditionsrisks-10,Following underlying conditions or risk factors selected;Current substance use,categorical,,,Do you have any of the following underlying conditions or risk factors? Current substance use,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,current substance use"
30103-conditionsrisks-13,"Following underlying conditions or risk factors selected;Mental Health conditions, including serious mental illness",categorical,,,"Do you have any of the following underlying conditions or risk factors? Mental Health conditions, including serious mental illness",true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"include mental illness,follow underlie condition,risk factor,mental health condition"
30103-conditionsrisks-14,Following underlying conditions or risk factors selected; Asthma,categorical,,,Do you have any of the following underlying conditions or risk factors? Asthma,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,asthma"
30103-conditionsrisks-15,Following underlying conditions or risk factors selected;Sickle cell disease,categorical,,,Do you have any of the following underlying conditions or risk factors? Sickle cell disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"sickle cell disease,follow underlie condition,risk factor"
30103-conditionsrisks-16,Following underlying conditions or risk factors selected;Cancer,categorical,,,Do you have any of the following underlying conditions or risk factors? Cancer,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,cancer"
30103-conditionsrisks-17,Following underlying conditions or risk factors selected;Current Vape Use,categorical,,,Do you have any of the following underlying conditions or risk factors? Current Vape Use,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,current vape use"
30103-conditionsrisks-19,Following underlying conditions or risk factors selected;Other,categorical,,,Do you have any of the following underlying conditions or risk factors? Other,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor"
30103-conditionsrisks-2,Following underlying conditions or risk factors selected;Diabetes,categorical,,,Do you have any of the following underlying conditions or risk factors? Diabetes,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,diabete,risk factor"
30103-conditionsrisks-20,Following underlying conditions or risk factors selected;I do not have any underlying conditions or risk factors,categorical,,,Do you have any of the following underlying conditions or risk factors? I do not have any underlying conditions or risk factors,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,underlie condition"
30103-conditionsrisks-22,Following underlying conditions or risk factors selected;Chronic kidney disease,categorical,,,Do you have any of the following underlying conditions or risk factors? Chronic kidney disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,chronic kidney disease"
30103-conditionsrisks-23,Following underlying conditions or risk factors selected;Chronic lung disease,categorical,,,Do you have any of the following underlying conditions or risk factors? Chronic lung disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,chronic lung disease"
30103-conditionsrisks-3,Following underlying conditions or risk factors selected;Hypertension,categorical,,,Do you have any of the following underlying conditions or risk factors? Hypertension,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,hypertension"
30103-conditionsrisks-4,Following underlying conditions or risk factors selected;Obesity,categorical,,,Do you have any of the following underlying conditions or risk factors? Obesity,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"obesity,follow underlie condition,risk factor"
30103-conditionsrisks-5,Following underlying conditions or risk factors selected;Cardiovascular disease,categorical,,,Do you have any of the following underlying conditions or risk factors? Cardiovascular disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"cardiovascular disease,follow underlie condition,risk factor"
30103-conditionsrisks-6,Following underlying conditions or risk factors selected;Renal disease,categorical,,,Do you have any of the following underlying conditions or risk factors? Renal disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,renal disease"
30103-conditionsrisks-7,Following underlying conditions or risk factors selected;Liver disease,categorical,,,Do you have any of the following underlying conditions or risk factors? Liver disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,liver disease,risk factor"
30103-conditionsrisks-8,Following underlying conditions or risk factors selected;Immunosuppressive disease,categorical,,,Do you have any of the following underlying conditions or risk factors? Immunosuppressive disease,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,immunosuppressive disease"
30103-conditionsrisks-9,Following underlying conditions or risk factors selected;Current smoker (tobacco),categorical,,,Do you have any of the following underlying conditions or risk factors? Current smoker (tobacco),true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"follow underlie condition,risk factor,tobacco,current smoker"
30103-conditionsrisks-999,Following underlying conditions or risk factors selected;Prefer not to answer,categorical,,,Do you have any of the following underlying conditions or risk factors? Prefer not to answer,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"prefer,follow underlie condition,risk factor,answer"
30106-currently_pregnant,Pregnancy Status,categorical,,,Are you currently pregnant?,true,"1, Yes; 2, No; 3, I don't know; 999, Prefer not to answer",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,currently pregnant
30107-alcohol_consume,Alcohol Use,categorical,,,Do you drink alcohol?,true,"1, Yes; 2, No; 999, Prefer not to answer",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,drink alcohol
30108-employed_currently,Employment Status,categorical,,,Are you currently employed?,true,"1, Yes full-time; 3, Yes, part-time; 4, Yes, temporary; 5, No; 999, Prefer not to answer",,,,,,Employment,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,currently employ
30109-health_professional,Health Professional Status,categorical,,,"Are you a health care or an allied healthcare professional(e.g. medical, nursing, long-term-care facility, dentistry, pharmacy, EMT/paramedic, other)?",true,"1, No; 2, Yes; 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,",long,health care,nursing,ally healthcare professional,emt,dentistry,g,term,care facility,paramedic,pharmacy,medical,e"
30110-essential_worker,Essential Worker Status,categorical,,,"Are you an essential worker (other than a healthcare professional) required to workin close contact with others (e.g. retail salesperson, cashier, bus/taxi driver, firefighter, police officer, security guard, custodial staff, restaurant staff, housekeeper, childcare worker, construction worker, other)?",true,"1, No; 2, Yes; 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,",retail salesperson,restaurant staff,bus,custodial staff,childcare worker,police officer,cashier,g,essential worker,construction worker,workin close contact,taxi driver,healthcare professional,security guard,require,housekeeper,firefighter,e"
30112-insurance,Insurance Status,categorical,,,Are you covered by health insurance or some other kind of health care plan?,true,"1, Yes; 2, I don't have health insurance (Self-Pay); 3, No; 5, I don't know; 999, Prefer not to answer",,,,,,Insurance Status,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"health care plan,cover,kind,health insurance"
30113-insurance_plan,Insurance Plan Type,categorical,,,What kind of plan are you covered by?,true,"1, Insurance purchased directly from an insurance company (by you or another family member); 2, Insurance through a current or former employer or union (by you or another family member); 3, Medicare, for people 65 and older or people with certain disabilities; 4, Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or disability; 5, TRICARE or other military health care; 6, Veterans Affairs (VA) (including those who have ever used or enrolled for VA health care) ○ Indian Health Service; 7, Any other type of health insurance or health coverage plan; 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"plan,cover,kind"
30117-deaf,Deaf Status,categorical,,,Are you deaf or do you have serious difficulty hearing?,true,"1, Yes; 2, No; 999, Prefer not to answer",,,,,,Disability Status,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"deaf,difficulty hear"
30118-blind,Blind Status,categorical,,,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",true,"1, Yes; 2, No; 999, Prefer not to answer",,,,,,Disability Status,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"difficulty,,blind,wear glass"
30119-concentrating,Difficulty Concentrating,categorical,,,"Do you have serious difficulty concentrating, remembering, or making decisions (because of a physical, mental, or emotional condition)?",true,"1, Yes; 2, No; 999, Prefer not to answer",,,,,,Disability Status,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"mental,physical,difficulty concentrate,decision,emotional condition,remember"
30120-walking,Difficulty Walking,categorical,,,Do you have serious difficulty walking or climbing stairs?,true,"1, Yes; 2, No; 999, Prefer not to answer",,,,,,Disability Status,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"climb stair,difficulty walk"
30121-dressing,Difficulty Dressing,categorical,,,Do you have difficulty dressing or bathing?,true,"1, Yes; 2, No; 999, Prefer not to answer",,,,,,Disability Status,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"difficulty dress,bathe"
30122-errands,Difficulty with Errands,categorical,,,"Do you have difficulty doing errands alone such as visiting a doctor's office or shopping (because of a physical, mental, oremotional condition)?",true,"1, Yes; 2, No; 999, Prefer not to answer",,,,,,Disability Status,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"office,shop,errand,oremotional condition,mental,doctor,physical,visit,difficulty"
30123-colorblind,Color Blind Status,categorical,,,Have you ever been told that you have color-blindness?,true,"1, Yes; 2, No; 3, Not sure; 999, Prefer not to answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,",color,blindness,tell"
30124-colorblind_type,Color Blind Type,categorical,,,"If yes, what kind of color-blindness have you been told you have?",true,"1, Red-green color-blindness; 2, Blue-yellow color-blindness; 3, Complete color-blindness (monochromacy); 4, I'm not sure; 5, Prefer not answer",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"blindness,yes,kind,tell,color"
30132-covid_tested30,"Last 30 days, COVID Tested Status",categorical,,,"In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",true,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"past 30 day,result,research study,outside,recent test,test,coronavirus"
30135-covid_result,"Last 30 days, COVID Tested Results",categorical,,,What kind of COVID-19 test did you have?,true,"1, Home-based test (please provide name); 2, Lab-administered diagnostic PCR test; 3, Lab-administered diagnostic antigen test; 4, Lab-administered antibody test; 5, Lab-administered test, unsure of type; 999, Prefer not to answer",,,,,,,Symptom Screening,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"19 test,kind,covid"
30138-covid_why-1,"The following best describes why the participant was tested for the Coronavirus, selected; I had coronavirus symptoms (fever, cough, chills, nausea, etc…)",categorical,,,"Which of the following best describes why you were tested for the Coronavirus? I had coronavirus symptoms (fever, cough, chills, nausea, etc…)",true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,Symptom Screening,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"cough,coronavirus symptom,etc …,test,chill,nausea,coronavirus,follow good describe,fever"
