variable_name,description,datatype,Digest (variable_name|source_file|source_directory),survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,Concept,DHT Prompt,DHT Variable,DHT Response Options,Merged Variable 1: Prompt,Merged Variable 1: Respone Options,Merged Variable 1: Variable,Merged Variable 2: Prompt,Merged Variable 2: Respone Options,Merged Variable 2: Variable,Merged Variable 3: Prompt,Merged Variable 3: Respone Options,Merged Variable 3: Variable,Merged Variable 4: Prompt,Merged Variable 4: Respone Options,Merged Variable 4: Variable,RADx-TECH Prompt,RADx-TECH Variable,RADx-TECH Response Options,Comment,section_header,ui,field_note,pattern,min,max,branching_logic,Custom Alignment,Matrix Group Name,RADx-UP Prompt,RADx-UP Variable,RADx-UP Reponse Options,CDE Reference,RADx-rad Prompt,RADx-rad Variable,RADx-rad Response Options,Value Set,Dependent Fields,source_file,source_directory,categories,related_group,matches
nih_vape_freq,,,6cbf8e761250915aa2d99f6e354b66f5c5fe62360d4d1f95d1539bebac74dd53d412eadeda4d18dec1df4db95637e3c2d8b077501887959f0cdf7d36fa51a238,,,"Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all?",,"0,Not at all;1,Rarely;2,Some Days;3,Every Day;98,Don't know;99,Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all?",vaper_cur_stat,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,RADx-UP-global-code-book.csv,RADx-UP,"vape frequency,electronic cigarette,day",group3,"387d29,1.0;d80a0d,1.0;851519,1.0;1813a7,0.81;4c8408,0.87"
nih_vape_freq,,,8353bce5cca187a8d39b515e85e573dda688077d87b5491b7a8357ab2cc1f27b2130423793a72644fd6ad61101fba157ba424e67e975251bef1d548321d80a0d,,,"Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all?",,"0,Not at all;1,Rarely;2,Some Days;3,Every Day;98,Don't know;99,Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,"Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all?",dht_vaping_frequency,"1, Every Day; 2, Some Days; 3, Rarely; 4, Not at all; 98, Don't know; 99, Prefer not to answer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-DHT-global-code-book.csv,RADx-DHT,"vape frequency,electronic cigarette,day",group3,"387d29,1.0;51a238,1.0;0544c1,0.86;851519,1.0"
vaper_cur_stat,|https://www.cdc.gov/tobacco/data_statistics/sgr/e-cigarettes/pdfs/2016_SGR_App_2-2_508.pdf),,fb55f66243d58ed2345d996da71be84a741cfe7e429ea2f1c189d9b28cfc63c5c9a07a0e52dfa1802b1ff8a2569d8717ea947239fdc2d7f01510a0d3e70544c1,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",,,,,,,alcohol_and_tobacco,,,,,,,,,,,,,,,,,,,,,Alcohol and Tobacco/Nicotine Use,radio,,,,,,,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"tobacco,electronic cigarette,day,sgr,data_statistic",group3,"387d29,0.86;d80a0d,0.86;851519,0.86;1813a7,0.73;4c8408,0.94"
nih_vape_freq,,,474c116e30a2b22a1e88a30e79b5efcae6af0537d9e67397faeb84d485447ff48ba92722a7c7e2b98654237eb44b298d84a13076f0041e3911c44c06e7851519,,,"Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all?",,"0,Not at all;1,Rarely;2,Some Days;3,Every Day;98,Don't know;99,Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified",,,,,,,,Medical History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADx-rad-global-code-book.csv,RADx-rad,"vape frequency,electronic cigarette,day",group3,"387d29,1.0;51a238,1.0;d80a0d,1.0;0544c1,0.86;1813a7,0.81;4c8408,0.87"
how_often_do_you_use_electronic_cigarettes_or_vapes,How often do you use electronic cigarettes or vapes?,text,284bc775224a2ad101e15244580da8eef3910806e1523c180998dec4c5be708bbb2bf77a55be4d63740dcc73bc07b0379419b3eb7b1f858e584888e1a31813a7,,,,,"[""not_at_all"",""every_day"",""some_days"",""rarely"",""i_don_t_know"",""i_prefer_not_to_answer""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"electronic cigarette,vape",group3,"387d29,0.81;51a238,0.81;0544c1,0.73;851519,0.81"
e_cig,e cigarette use,radio,21828c230bd4ebe1753b02aa129f3150772bb3de01838d556d16a64b2bf07a8be47b3a4ce81b2c23fcc9e5b05b1980a342b405b1e21268b374582b3e254c8408,,,"Do you now use electronic cigarettes every day, some days, rarely, or not at all? ",,"1, Every day | 2, Some days | 3, Rarely | 4, Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"electronic cigarette,day",group3,"387d29,0.87;51a238,0.87;0544c1,0.94;851519,0.87"
pre_ext_storage_temp,The storage temperature of samples after concentration (if concentrated) and prior to extraction,float,d9706df479997b92a4bccd32efa64ff7ea843e664f6fbc2357514dee0f59385dbb33100f83a518a9ec0c84f8277663cfad3745f23f83e0d479266d10f581339b,,,,not required,,,,,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample,storage temperature,extraction,concentration",group4,"f878d3,1.0;530664,0.87"
pre_conc_storage_temp,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),float,eb2bcac90b5e7b729cf5768c39446df20f915a2821f093dd2e5d5330ffdab3f67b073ee8a54f37df1c2f52b61ad74bbc366654af0c98b75025010dd4fef56e64,,,,not required,,,,,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[float];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"sample,storage temperature,lab,concentration",group4,"f878d3,0.87;530664,1.0;0e6cea,0.74"
pre_ext_storage_temp,,,6ac62cbf9a756d13c9e6ec4eed2d105f6be30121cbb2b92699a42e174c33fafaafedcae12ce79cb8f890e899ea44164b1da6c45eb390167925b5fafbe1f878d3,,,The storage temperature of samples after concentration (if concentrated) and prior to extraction,,,,,,celsius,,,,,,,,,,,,,,,,,,,,,,,,Processing Method,float,,,,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample,storage temperature,extraction,concentration",group4,"81339b,1.0;f56e64,0.87"
collection_storage_time,Duration of time the sample was stored after collection and prior to reaching the lab,float,eb7254fa3e165c9b8a104e77d51827ef3f28df35808de503b6773746864e1d0fd04a2a4e57c458d241b85ecedb2f8bfca7f926b93913a6fb6d9fe3aa7723c1c6,,,,not required,,,,,hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[greater than or equal to 0];
[empty]",None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"lab,duration,time,sample,collection",group4,"0e6cea,0.84;e1c26c,1.0"
pre_conc_storage_temp,,,b676bde5e21aab12a2db2fb84aa6303105d8967241a53e6c816d20fb02ec67c36c25081f048d212aa6690cc28cf5338f5a6c5086a3ba8b114ed6adaddf530664,,,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),,,,,,celsius,,,,,,,,,,,,,,,,,,,,,,,,Processing Method,float,,,,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"sample,storage temperature,lab,concentration",group4,"81339b,0.87;f56e64,1.0;7dd3e4,0.74"
