variable_name,description,datatype,survey_name,survey_version,label,required,value_constraints,Channel,seeAlso,question_id,units,unique,CDE,form_name,section_header,ui,field_note,min,max,branching_logic,Custom Alignment,Matrix Group Name,CDE Reference,Value Set,Dependent Fields,source_file,source_directory,categories,related_group
32014-covid_vaccine_date_deid,Number of days from day of Consent when Participant received a first vaccine,integer,,,What was the date that you received your first COVID vaccine?,true,De-identified Value in Days,,,,days,,,Symptom Screening,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"consent,date,covid vaccine,vaccine,participant,day",group10
vaccine_last_dte,Note: Maximum expected day = Current day.,date_mdy,,,On what date did you receive your most recent shot of the vaccine?,,,,,,,,,tier2_vaccine_acceptance,"In deciding whether to get the COVID-19 vaccine, how important are/were these statements to you ?  
1 = Not Important, 3 = Neutral,  5 = Very Important",text,MM/DD/YYYY,01/01/2020,,[covid_vaccine]='1' and [vaccine_dose]>= 2,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"recent shot,date,current day,note,maximum,vaccine",group10
test_result_date,,,,,The date on which this SARS-CoV-2 measurement was made,,,,,,,,,,SARSCoV2 Quantification Method,date,Lab result date,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"date,sar",group11
test_result_date,The date on which this SARS-CoV-2 measurement was made,date ([yyyy]-[mm]-[dd]),,,,required,,,,,[none],,,,,,,,,,,,,[date not after tomorrow's date and not before 'sample_collect_date'],None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"date,sar",group11
num_no_target_control,Number of no-template controls (NTC) per instrument run,category,,,,required,,,,,[none],,,,,,,,,,,,,,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"template control,number,instrument run,ntc",group12
num_no_target_control,,,,,Number of no-template controls (NTC) per instrument run,,0 | 1 | 2 | 3 | more than 3,,,,,,,,SARSCoV2 Quantification Method,category,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"template control,number,instrument run,ntc",group12
hum_frac_target_chem,Name of chemical compound used to estimate human fecal content,category,,,,not required,,,,,[none],,,,,,,,,,,,,,"If 'hum_frac_chem_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,",chemical compound,human fecal content",group13
hum_frac_target_mic,Name of microbial target used to estimate human fecal content,category,,,,not required,,,,,[none],,,,,,,,,,,,,,"If 'hum_frac_mic_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,",microbial target,human fecal content",group13
hum_frac_target_chem,,,,,Name of chemical compound used to estimate human fecal content,,caffeine | creatinine | sucralose | ibuprofen,,,,,,,,SARSCoV2 Quantification Method,category,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,",chemical compound,human fecal content",group13
hum_frac_target_mic,,,,,Name of microbial target used to estimate human fecal content,,pepper mild mottle virus | crassphage | hf183,,,,,,,,SARSCoV2 Quantification Method,category,"definitions of choices, e.g., crassphage, hf183?",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,",microbial target,human fecal content",group13
rec_eff_target_name,Name of the recovery efficiency control target that is spiked in,category,,,,required,,,,,[none],,,,,,,,,,,,,,"If 'rec_eff_percent' is equal to a value other than ""-1"", then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,",recovery efficiency control target",group14
rec_eff_target_name,,,,,Name of the recovery efficiency control target that is spiked in,,bcov vaccine | brsv vaccine | murine coronavirus | oc43 | phi6 | puro | ms2 coliphage | hep g armored rna,,,,,,,,Processing Method,category,"If 'rec_eff_percent' is equal to a value other than ""-1"", then this must have a non-empty value",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,",recovery efficiency control target",group14
rec_eff_spike_matrix,Matrix into which the recovery efficiency control target is spiked,category,,,,required,,,,,[none],,,,,,,,,,,,,,"If 'rec_eff_target_name' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,"matrix,recovery efficiency control target",group14
rec_eff_spike_matrix,,,,,Matrix into which the recovery efficiency control target is spiked,,raw sample | raw sample post pasteurization | clarified sample | sample concentrate | lysis buffer,,,,,,,,Processing Method,category,"If 'rec_eff_target_name' has a non-empty value, then this must have a non-empty value",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,,,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,"matrix,recovery efficiency control target",group14
30086-gender-1,Gender identity selected; Man,categorical,,,What terms best express how you describe your gender identity? Man,true,"0, Not Selected or Not Provided; 1, Selected or Yes",,,,,,,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"term,gender identity",group15
gender_identity_term,"PX011801 @NONEOFTHEABOVE='96,99' | Modified based on RADx-UP project feedback to conform to MTPC",,,,What terms best express how you describe your gender identity?,,"1, Woman | 0, Man | 2, Non-binary | 3,  Transgender man/Female-to-male (FTM) | 4, Transgender woman/Male-to-female (MTF) | 5, Gender non-binary/Genderqueer/Gender nonconforming | 6, Agender | 7, Bigender | 96, None of these describe me | 99, Prefer not to answer",,,,,,,sociodemographics,Demographics,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"mtpc,term,gender identity,project feedback,radx",group15
bio_sex_birth_2,PX011601 |https://www.phenxtoolkit.org/protocols/view/11601 | HHS/CDC COVID Lab Reporting Specifications | Removed 'Biological' term ,,,,What was your sex assigned at birth on your birth certificate?,,"1, Female | 0, Male | 3, Intersex| 96, None of these describe me | 99, Prefer not to answer",,,,,,,sociodemographics,Demographics,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"term,birth certificate,cdc covid lab,protocol,biological,birth,sex",group16
what_is_your_biological_sex_assigned_at_birth_for_example_on_your_birth_certificate,"What is your biological sex assigned at birth (for example, on your birth certificate)?",text,,,,,"[""female"",""intersex"",""male"",""i_prefer_not_to_answer"",""none_of_these_describe_me""]",,,,,,,,,,,,,,,,,,,survey__baseline_survey_origcopy.csv,RADx-DHT,"birth,biological sex,birth certificate,example",group16
sex,,select one,Demographics Survey,5,What sex were you assigned at birth?,true,Male;Female;Prefer not to disclose,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Demographics Survey.csv,RADx-DHT,"birth,sex",group16
sex,,,,,What is your biological sex assigned at birth?,,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,,,,,,form_1,Sex,radio,,,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,"birth,biological sex",group16
gender,Gender of participant,categorical,,,"""What is your biological sex""",,Male; Female; Intersex; None; Recode_NA,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,"participant,gender,biological sex",group16
30090-birthsex,Sex at Birth,categorical,,,What was your biological sex assigned at birth?,true,"1, Female; 2, Male; 7, Other; 999, Prefer not to answer",,,,,,Sex,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,"birth,biological sex,sex",group16
education,,integer,,,How many years of education have you completed?,,,,,,,,,form_1,Education,text,Years of education from 0 - 20+,,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,"year,education",group17
education,,select one,Demographics Survey,5,What is the highest level of education you have achieved?,true,"No formal schooling;Some school, but did not graduate high school;High school diploma or equivalency (e.g., GED);Associate degree (e.g., junior college);Some college, but did not graduate college;Bachelor's degree;Master's degree;Doctorate (PhD);Professional doctorate (MD, JD, DDS, etc.);Other;Don't know;Prefer not to state",,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Demographics Survey.csv,RADx-DHT,"education,high level",group17
weight,,integer,Largest Gathering and Height/Weight,0,What is your weight in pounds?,true,|pounds,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Largest Gathering and Height Weight.csv,RADx-DHT,"weight,pound",group18
weight_lbs,,number,,,What is your weight?,,,,,,,,,form_1,Health status,text,Weight in pounds,,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,weight,group18
weight,Weight of participant,categorical,,,"""Please provide your weight""",,100-150; 151-200; 201-250; over250,,,,pounds,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,"weight,participant",group18
asthma,,,,,Asthma,,"1, Yes | 0, No",,,,,,,form_1,Medical History,radio,,,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,asthma,group19
asthma,,,,,Asthma,,"0, No| 1, Yes| 99, Prefer not to answer",,,,,,,tier2_ped,Significant underlying medical conditions at the time of COVID-19 testing or diagnosis:,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,asthma,group19
asthma,,select one,Your Medical Conditions,4,"Asthma, to the point that you use inhalers daily or have been to the hospital for your asthma?",true,Yes;No;Don't know,,,,,,,,,,,,,,,,,,,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,"asthma,point,hospital,inhaler",group19
sickle_cell,,,,,Sickle cell disease,,"0, No| 1, Yes| 99, Prefer not to answer",,,,,,,tier2_ped,Significant underlying medical conditions at the time of COVID-19 testing or diagnosis:,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,sickle cell disease,group20
sickle_cell_disease,,,,,Sickle cell disease,,"1, Yes | 0, No",,,,,,,form_1,Medical History,radio,,,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,sickle cell disease,group20
cancer,,,,,Cancer,,"1, Yes | 0, No",,,,,,,form_1,Medical History,radio,,,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,cancer,group21
cancer,,,,,Cancer,,"0, No| 1, Yes| 99, Prefer not to answer",,,,,,,tier2_ped,Significant underlying medical conditions at the time of COVID-19 testing or diagnosis:,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,cancer,group21
hypertension,,,,,Hypertension,,"1, Yes | 0, No",,,,,,,form_1,Medical History,radio,,,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,hypertension,group22
hyperten,,,,,Hypertension,,"0, No| 1, Yes| 99, Prefer not to answer",,,,,,,tier2_ped,Significant underlying medical conditions at the time of COVID-19 testing or diagnosis:,radio,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,hypertension,group22
30106-currently_pregnant,Pregnancy Status,categorical,,,Are you currently pregnant?,true,"1, Yes; 2, No; 3, I don't know; 999, Prefer not to answer",,,,,,Medical History,About You,,,,,,,,,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,pregnancy status,group23
pregnant,Pregnancy status of participant,categorical,,,,,Yes; No; Recode_NA,,,,,,,,,,,,,,,,,,,NIH_CD_DD_origcopy.csv,RADx-DHT,"participant,pregnancy status",group23
pregnancy_status,,,,,Pregnancy status,,"1, Currently pregnant | 0, Not pregnant",,,,,,,form_1,Medical History,radio,,,,[sex] = '2',,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,pregnancy status,group23
alc,Alcohol use,radio,,,How often do you have a drink containing alcohol? ,,"1, Never | 2, Monthly or less 2-4 times a month | 3, 2-3 times a week | 4, 4 or more times a week",,,,,,,,,,,,,,,,,,,Demographics_and_Clinical.csv,RADx-DHT,"alcohol,alcohol use,drink",group24
alcohol_daysperweek,|https://www.drugabuse.gov/sites/default/files/audit.pdf| Alcohol Use Disorders Identification Test (AUDIT) |,,,,How often do you have a drink containing alcohol?,,"0, Never|1, Monthly or less|2, 2-4 times a month|3, 2-3 times a week|4, 4 or more times a week|5, Don't know or refuse to answer",,,,,,,alcohol_and_tobacco,Alcohol and Tobacco/Nicotine Use,radio,,,,[lifetime_use_alcohol] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,"alcohol use disorder identification test,drink,alcohol,site,audit,default",group24
